tier,level,mapName,subMapName,className,rank,mobName,mobLevel,mobAttack,mobHp,baseWeight,averageWeight,probabilityPercent,expectedKillsPer1000,expectedDamagePerBattle,expectedMobHitDamage,expectedDodgeChancePercent,expectedCriticalChancePercent,noPotionBattles,potions25Battles,potions100Battles
1,10,"Subúrbio Silencioso","Rua das Cercas","Lutador",1,"Errante do Subúrbio",1,2,43,42,42,30.08,300.8,0.98,1,3.55,4.42,715,4643,16429
1,10,"Subúrbio Silencioso","Rua das Cercas","Lutador",2,"Gato de Telhado Contaminado",4,4,79,24,35.89,25.7,257,1,1,2.2,5.32,700,4550,16100
1,10,"Subúrbio Silencioso","Quintais Abandonados","Lutador",3,"Rastejante de Garagem",4,4,86,15,21.96,15.72,157.2,1,1,2.2,5.32,700,4550,16100
1,10,"Subúrbio Silencioso","Quintais Abandonados","Lutador",4,"Morcego de Caixa d’Água",7,7,127,9,17.92,12.83,128.3,1.01,1,2,6.4,694,4505,15941
1,10,"Subúrbio Silencioso","Bloco do Síndico","Lutador",5,"Porteiro Infectado",7,8,138,6,11.95,8.55,85.5,1.01,1,2,6.22,694,4505,15941
1,10,"Subúrbio Silencioso","Bloco do Síndico","Lutador",6,"Síndico Devorado",10,12,206,4,9.95,7.12,71.2,2.03,2,2,7.3,345,2241,7931
1,10,"Subúrbio Silencioso","Rua das Cercas","Assassino",1,"Errante do Subúrbio",1,1,43,42,42,30.08,300.8,0.79,1,22.45,3,311,2020,7146
1,10,"Subúrbio Silencioso","Rua das Cercas","Assassino",2,"Gato de Telhado Contaminado",4,2,79,24,35.89,25.7,257,0.8,1,21.1,3,307,1994,7057
1,10,"Subúrbio Silencioso","Quintais Abandonados","Assassino",3,"Rastejante de Garagem",4,2,86,15,21.96,15.72,157.2,0.8,1,21.1,3,307,1994,7057
1,10,"Subúrbio Silencioso","Quintais Abandonados","Assassino",4,"Morcego de Caixa d’Água",7,3,127,9,17.92,12.83,128.3,0.82,1,19.3,3,300,1946,6885
1,10,"Subúrbio Silencioso","Bloco do Síndico","Assassino",5,"Porteiro Infectado",7,4,138,6,11.95,8.55,85.5,1.63,2,19.75,3,150,979,3463
1,10,"Subúrbio Silencioso","Bloco do Síndico","Assassino",6,"Síndico Devorado",10,6,206,4,9.95,7.12,71.2,3.33,4,17.95,3,73,479,1695
1,10,"Subúrbio Silencioso","Rua das Cercas","Atirador",1,"Errante do Subúrbio",1,1,43,42,42,30.08,300.8,0.81,1,19.75,3,330,2120,7491
1,10,"Subúrbio Silencioso","Rua das Cercas","Atirador",2,"Gato de Telhado Contaminado",4,2,79,24,35.89,25.7,257,0.83,1,18.4,3,322,2069,7310
1,10,"Subúrbio Silencioso","Quintais Abandonados","Atirador",3,"Rastejante de Garagem",4,2,86,15,21.96,15.72,157.2,0.83,1,18.4,3,322,2069,7310
1,10,"Subúrbio Silencioso","Quintais Abandonados","Atirador",4,"Morcego de Caixa d’Água",7,3,127,9,17.92,12.83,128.3,0.85,1,16.6,3,315,2021,7138
1,10,"Subúrbio Silencioso","Bloco do Síndico","Atirador",5,"Porteiro Infectado",7,4,138,6,11.95,8.55,85.5,1.68,2,17.05,3,159,1022,3611
1,10,"Subúrbio Silencioso","Bloco do Síndico","Atirador",6,"Síndico Devorado",10,6,206,4,9.95,7.12,71.2,2.58,3,15.25,3,103,665,2351
1,10,"Subúrbio Silencioso","Rua das Cercas","Medico",1,"Errante do Subúrbio",1,2,43,42,42,30.08,300.8,0.98,1,3.55,4.42,644,5058,18297
1,10,"Subúrbio Silencioso","Rua das Cercas","Medico",2,"Gato de Telhado Contaminado",4,4,79,24,35.89,25.7,257,1,1,2.2,5.32,631,4956,17931
1,10,"Subúrbio Silencioso","Quintais Abandonados","Medico",3,"Rastejante de Garagem",4,4,86,15,21.96,15.72,157.2,1,1,2.2,5.32,631,4956,17931
1,10,"Subúrbio Silencioso","Quintais Abandonados","Medico",4,"Morcego de Caixa d’Água",7,8,127,9,17.92,12.83,128.3,1.01,1,2,6.4,625,4907,17754
1,10,"Subúrbio Silencioso","Bloco do Síndico","Medico",5,"Porteiro Infectado",7,9,138,6,11.95,8.55,85.5,2.02,2,2,6.22,312,2453,8877
