tier,className,potionQuantity,safeBattles,potionsUsed,finalHp,finalHpPercent,riskLevel
1,"Lutador",0,655,0,0,0,"HIGH"
1,"Lutador",10,2094,10,0,0,"HIGH"
1,"Lutador",25,4253,25,0,0,"HIGH"
1,"Lutador",50,7851,50,0,0,"HIGH"
1,"Lutador",100,15047,100,0,0,"HIGH"
1,"Assassino",0,234,0,0,0,"HIGH"
1,"Assassino",10,748,10,0,0,"HIGH"
1,"Assassino",25,1519,25,0,0,"HIGH"
1,"Assassino",50,2805,50,0,0,"HIGH"
1,"Assassino",100,5377,100,0,0,"HIGH"
1,"Atirador",0,262,0,0,0,"HIGH"
1,"Atirador",10,831,10,0,0,"HIGH"
1,"Atirador",25,1684,25,0,0,"HIGH"
1,"Atirador",50,3105,50,0,0,"HIGH"
1,"Atirador",100,5949,100,0,0,"HIGH"
1,"Medico",0,544,0,0,0,"HIGH"
1,"Medico",10,2036,10,0,0,"HIGH"
1,"Medico",25,4273,25,0,0,"HIGH"
1,"Medico",50,8001,50,0,0,"HIGH"
1,"Medico",100,15458,100,0,0,"HIGH"
2,"Lutador",0,529,0,0,0,"HIGH"
2,"Lutador",10,1693,10,0,0,"HIGH"
2,"Lutador",25,3439,25,0,0,"HIGH"
2,"Lutador",50,6348,50,0,0,"HIGH"
2,"Lutador",100,12167,100,0,0,"HIGH"
2,"Assassino",0,183,0,0,0,"HIGH"
2,"Assassino",10,585,10,0,0,"HIGH"
2,"Assassino",25,1188,25,0,0,"HIGH"
2,"Assassino",50,2192,50,0,0,"HIGH"
2,"Assassino",100,4201,100,0,0,"HIGH"
2,"Atirador",0,214,0,0,0,"HIGH"
2,"Atirador",10,683,10,0,0,"HIGH"
2,"Atirador",25,1388,25,0,0,"HIGH"
2,"Atirador",50,2562,50,0,0,"HIGH"
2,"Atirador",100,4911,100,0,0,"HIGH"
2,"Medico",0,426,0,0,0,"HIGH"
2,"Medico",10,1594,10,0,0,"HIGH"
2,"Medico",25,3347,25,0,0,"HIGH"
2,"Medico",50,6268,50,0,0,"HIGH"
2,"Medico",100,12111,100,0,0,"HIGH"
3,"Lutador",0,226,0,0,0,"HIGH"
3,"Lutador",10,768,10,0,0,"HIGH"
3,"Lutador",25,1581,25,0,0,"HIGH"
3,"Lutador",50,2937,50,0,0,"HIGH"
3,"Lutador",100,5648,100,0,0,"HIGH"
3,"Assassino",0,64,0,0,0,"HIGH"
3,"Assassino",10,220,10,0,0,"HIGH"
3,"Assassino",25,453,25,0,0,"HIGH"
3,"Assassino",50,841,50,0,0,"HIGH"
3,"Assassino",100,1618,100,0,0,"HIGH"
3,"Atirador",0,69,0,0,0,"HIGH"
3,"Atirador",10,234,10,0,0,"HIGH"
3,"Atirador",25,483,25,0,0,"HIGH"
3,"Atirador",50,897,50,0,0,"HIGH"
3,"Atirador",100,1725,100,0,0,"HIGH"
3,"Medico",0,173,0,0,0,"HIGH"
3,"Medico",10,693,10,0,0,"HIGH"
3,"Medico",25,1473,25,0,0,"HIGH"
3,"Medico",50,2772,50,0,0,"HIGH"
3,"Medico",100,5371,100,0,0,"HIGH"
4,"Lutador",0,152,0,0,0,"HIGH"
4,"Lutador",10,517,10,0,0,"HIGH"
4,"Lutador",25,1065,25,0,0,"HIGH"
4,"Lutador",50,1978,50,0,0,"HIGH"
4,"Lutador",100,3804,100,0,0,"HIGH"
4,"Assassino",0,42,0,0,0,"HIGH"
4,"Assassino",10,144,10,0,0,"HIGH"
4,"Assassino",25,296,25,0,0,"HIGH"
4,"Assassino",50,551,50,0,0,"HIGH"
4,"Assassino",100,1060,100,0,0,"HIGH"
4,"Atirador",0,45,0,0,0,"HIGH"
4,"Atirador",10,154,10,0,0,"HIGH"
4,"Atirador",25,318,25,0,0,"HIGH"
4,"Atirador",50,591,50,0,0,"HIGH"
4,"Atirador",100,1137,100,0,0,"HIGH"
4,"Medico",0,115,0,0,0,"HIGH"
