tier,level,mapName,className,hp,defense,agility,potionHealAmount,encounterCount,totalEncounterWeight,weightedMobLevel,averageDamagePerBattle,damagePer1000Battles,noPotionBattles,potions10Battles,potions25Battles,potions50Battles,potions100Battles,noPotionVsBestPercent,potions100VsBestPercent,strongestMobNoPotionBattles,strongestMob25PotionsBattles,strongestMob100PotionsBattles,worstSequence25PotionsBattles,worstSequence100PotionsBattles,riskWith100Potions
1,10,"Subúrbio Silencioso","Lutador",701,96,2,154,6,139.67,4.2,1.07,1070,655,2094,4253,7851,15047,100,97.3,345,2241,7931,2994,10592,"HIGH"
1,10,"Subúrbio Silencioso","Assassino",246,4,44,54,6,139.67,4.2,1.05,1050,234,748,1519,2805,5377,35.7,34.8,73,479,1695,643,2276,"HIGH"
1,10,"Subúrbio Silencioso","Atirador",268,6,38,58,6,139.67,4.2,1.02,1020,262,831,1684,3105,5949,40,38.5,103,665,2351,806,2848,"HIGH"
1,10,"Subúrbio Silencioso","Medico",632,94,2,173,6,139.67,4.2,1.16,1160,544,2036,4273,8001,15458,83.1,100,311,2441,8833,2441,8833,"HIGH"
2,20,"Distrito da Ferrugem","Lutador",1229,186,6,270,6,139.67,14.2,2.32,2320,529,1693,3439,6348,12167,100,100,199,1293,4575,1555,5502,"HIGH"
2,20,"Distrito da Ferrugem","Assassino",402,10,82,88,6,139.67,14.2,2.19,2190,183,585,1188,2192,4201,34.6,34.5,54,355,1258,444,1572,"HIGH"
2,20,"Distrito da Ferrugem","Atirador",424,14,74,93,6,139.67,14.2,1.98,1980,214,683,1388,2562,4911,40.5,40.4,64,417,1477,536,1899,"HIGH"
2,20,"Distrito da Ferrugem","Medico",1112,184,2,305,6,139.67,14.2,2.61,2610,426,1594,3347,6268,12111,80.5,99.5,134,1059,3831,1416,5123,"HIGH"
3,30,"Hospital Santa Ruína","Lutador",1739,274,8,417,6,139.67,24.2,7.69,7690,226,768,1581,2937,5648,100,100,66,467,1668,632,2260,"HIGH"
3,30,"Hospital Santa Ruína","Assassino",534,14,118,128,6,139.67,24.2,8.24,8240,64,220,453,841,1618,28.3,28.6,22,159,569,196,700,"HIGH"
3,30,"Hospital Santa Ruína","Atirador",550,16,110,132,6,139.67,24.2,7.97,7970,69,234,483,897,1725,30.5,30.5,23,164,586,206,736,"HIGH"
3,30,"Hospital Santa Ruína","Medico",1580,272,4,473,6,139.67,24.2,9.1,9100,173,693,1473,2772,5371,76.5,95.1,50,428,1560,572,2086,"HIGH"
4,40,"Terminal dos Esquecidos","Lutador",2261,364,10,542,6,139.67,34.2,14.84,14840,152,517,1065,1978,3804,100,100,45,318,1136,411,1468,"HIGH"
4,40,"Terminal dos Esquecidos","Assassino",672,18,157,161,6,139.67,34.2,15.82,15820,42,144,296,551,1060,27.6,27.9,16,116,415,140,502,"HIGH"
4,40,"Terminal dos Esquecidos","Atirador",694,20,145,166,6,139.67,34.2,15.21,15210,45,154,318,591,1137,29.6,29.9,17,122,436,148,530,"HIGH"
4,40,"Terminal dos Esquecidos","Medico",2054,362,8,615,6,139.67,34.2,17.76,17760,115,461,981,1847,3578,75.7,94.1,34,294,1072,384,1401,"HIGH"
5,50,"Zona de Quarentena 9","Lutador",2801,458,10,728,6,139.67,44.2,29.12,29120,96,346,721,1346,2596,100,100,29,222,800,286,1031,"HIGH"
5,50,"Zona de Quarentena 9","Assassino",804,20,193,209,6,139.67,44.2,28.3,28300,28,102,213,397,766,29.2,29.5,11,88,317,105,381,"HIGH"
5,50,"Zona de Quarentena 9","Atirador",832,24,179,216,6,139.67,44.2,27.06,27060,30,110,230,429,828,31.3,31.9,12,93,335,112,404,"HIGH"
5,50,"Zona de Quarentena 9","Medico",2528,452,8,821,6,139.67,44.2,34.62,34620,73,310,665,1258,2444,76,94.1,22,206,756,264,969,"HIGH"
6,60,"Refinaria do Pó Cinzento","Lutador",3125,498,14,812,6,139.67,54.2,53.01,53010,58,212,441,824,1590,100,100,18,140,505,179,645,"HIGH"
6,60,"Refinaria do Pó Cinzento","Assassino",1020,36,223,265,6,139.67,54.2,40.82,40820,24,89,187,349,674,41.4,42.4,10,77,279,93,335,"HIGH"
6,60,"Refinaria do Pó Cinzento","Atirador",1042,40,207,270,6,139.67,54.2,39.86,39860,26,93,195,364,703,44.8,44.2,10,80,289,96,348,"HIGH"
6,60,"Refinaria do Pó Cinzento","Medico",2840,498,8,922,6,139.67,54.2,62.27,62270,45,193,415,785,1526,77.6,96,14,132,487,169,620,"HIGH"
7,70,"Avenida dos Caídos","Lutador",3473,544,16,972,6,139.67,64.2,93.46,93460,37,141,297,557,1077,100,100,12,98,357,124,451,"HIGH"
7,70,"Avenida dos Caídos","Assassino",1206,52,255,337,6,139.67,64.2,59.85,59850,20,76,160,301,583,54.1,54.1,8,67,243,80,291,"HIGH"
7,70,"Avenida dos Caídos","Atirador",1234,58,233,345,6,139.67,64.2,58.26,58260,21,80,169,317,613,56.8,56.9,8,69,252,84,304,"HIGH"
7,70,"Avenida dos Caídos","Medico",3128,540,10,1093,6,139.67,64.2,110.49,110490,28,127,275,522,1017,75.7,94.4,9,92,343,117,432,"HIGH"
8,80,"Complexo Helix","Lutador",3833,592,16,1073,6,139.67,74.2,160.59,160590,23,90,190,357,692,100,100,8,66,240,83,301,"HIGH"
8,80,"Complexo Helix","Assassino",1410,68,285,394,6,139.67,74.2,88.58,88580,15,60,127,238,460,65.2,66.5,6,54,195,64,234,"HIGH"
8,80,"Complexo Helix","Atirador",1432,74,261,400,6,139.67,74.2,87.1,87100,16,62,131,246,475,69.6,68.6,6,55,200,66,240,"HIGH"
8,80,"Complexo Helix","Medico",3434,584,10,1201,6,139.67,74.2,188.45,188450,18,81,177,336,655,78.3,94.7,6,62,232,78,289,"HIGH"
