tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,126.64,4,"Lutador",30,701,84,96,90,8.8,9,8.52,17.52,205,1939,100,4.87,9.5,9457,100,8,1.06,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,126.64,4,"Assassino",30,246,86,4,129.9,8.8,9,8.46,17.46,206,1810,93.3,4.85,8.8,8789,92.9,11,1.02,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,126.64,4,"Atirador",30,268,88,6,130.5,8.8,9,8.12,17.12,210,1846,95.2,4.76,8.8,8789,92.9,11,1,"MEDIUM"
1,10,"real-seed-maps","Subúrbio Silencioso",6,126.64,4,"Medico",30,632,62,94,74.9,8.8,9,8.99,17.99,200,1891,97.5,5,9.5,9457,100,8,1.14,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,126.64,14,"Lutador",60,1229,160,186,180.6,14.9,9,25.05,34.05,105,1698,100,9.46,16.2,16170,100,18,2.23,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,126.64,14,"Assassino",60,402,160,10,355.8,14.9,9,23.39,32.39,111,1648,97.1,9,14.8,14848,91.8,23,2.07,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,126.64,14,"Atirador",60,424,160,14,355.3,14.9,9,23.39,32.39,111,1648,97.1,9,14.8,14848,91.8,21,1.88,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,126.64,14,"Medico",60,1112,114,184,155.9,14.9,9,25.31,34.31,104,1682,99.1,9.53,16.2,16170,100,18,2.49,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,126.64,24,"Lutador",90,1739,236,274,281.9,26.7,9,32.36,41.36,87,2521,100,11.49,29,28972,100,37,7.33,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,126.64,24,"Assassino",90,534,236,14,726.5,26.7,9,29.69,38.69,93,2440,96.8,10.75,26.2,26234,90.5,63,7.87,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,126.64,24,"Atirador",90,550,240,16,751.2,26.7,9,29.69,38.69,93,2440,96.8,10.75,26.2,26234,90.5,60,7.61,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,126.64,24,"Medico",90,1580,164,272,254.3,26.7,9,32.36,41.36,87,2521,100,11.49,29,28972,100,38,8.69,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,126.64,34,"Lutador",120,2261,306,364,383.9,43.1,9,39,48,75,3491,100,13.33,46.5,46545,100,67,14.15,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,126.64,34,"Assassino",120,672,310,18,1161.2,43.1,9,35,44,81,3404,97.5,12.22,42,42020,90.3,118,15.22,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,126.64,34,"Atirador",120,694,318,20,1225.5,43.1,9,35,44,81,3404,97.5,12.22,42,42020,90.3,112,14.6,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,126.64,34,"Medico",120,2054,213,362,380.8,43.1,9,39,48,75,3491,100,13.33,46.5,46545,100,69,16.92,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,126.64,44,"Lutador",150,2801,382,458,488.4,65.9,9,40,49,73,5193,97.3,13.61,71.1,71136,100,63,27.76,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,126.64,44,"Assassino",150,804,384,20,1722.5,65.9,9,35,44,81,5234,98.1,12.22,64.6,64620,90.8,116,27.31,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,126.64,44,"Atirador",150,832,394,24,1851.4,65.9,9,35,44,81,5234,98.1,12.22,64.6,64620,90.8,110,26.09,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,126.64,44,"Medico",150,2528,267,452,534.8,65.9,9,39,48,75,5335,100,13.33,71.1,71136,100,65,32.96,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,126.64,54,"Lutador",180,3125,446,498,602.1,98.5,9,40,49,73,7760,99.2,13.61,106.3,106305,100,110,50.54,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,126.64,54,"Assassino",192,1020,446,36,2300,98.5,9,35,44,81,7823,100,12.22,96.6,96579,90.9,155,39.41,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,126.64,54,"Atirador",192,1042,458,40,2482.1,98.5,9,35,44,81,7823,100,12.22,96.6,96579,90.9,150,38.45,"MEDIUM"
6,60,"real-seed-maps","Refinaria do Pó Cinzento",6,126.64,54,"Medico",180,2840,311,498,654.7,98.5,9,40,49,73,7760,99.2,13.61,106.3,106305,100,112,59.37,"MEDIUM"
7,70,"real-seed-maps","Avenida dos Caídos",6,126.64,64,"Lutador",210,3473,498,544,705.3,144.8,9,41,50,72,11277,98.1,13.89,156.6,156621,100,118,89.24,"MEDIUM"
7,70,"real-seed-maps","Avenida dos Caídos",6,126.64,64,"Assassino",234,1206,506,52,3036,144.8,9,35,44,81,11499,100,12.22,142,141960,90.6,143,57.78,"MEDIUM"
7,70,"real-seed-maps","Avenida dos Caídos",6,126.64,64,"Atirador",234,1234,518,58,3226.4,144.8,9,35,44,81,11499,100,12.22,142,141960,90.6,137,56.2,"MEDIUM"
7,70,"real-seed-maps","Avenida dos Caídos",6,126.64,64,"Medico",210,3128,353,540,800.6,144.8,9,40,49,73,11433,99.4,13.61,156.6,156621,100,121,105.62,"MEDIUM"
8,80,"real-seed-maps","Complexo Helix",6,126.64,74,"Lutador",240,3833,558,592,804.9,208.5,9,41,50,72,16219,98,13.89,225.3,225258,100,191,153.73,"MEDIUM"
8,80,"real-seed-maps","Complexo Helix",6,126.64,74,"Assassino",276,1410,564,68,3871.2,208.5,9,35,44,81,16551,100,12.22,204.3,204334,90.7,197,85.61,"MEDIUM"
8,80,"real-seed-maps","Complexo Helix",6,126.64,74,"Atirador",276,1432,574,74,4100.2,208.5,9,35,44,81,16551,100,12.22,204.3,204334,90.7,192,84.16,"MEDIUM"
8,80,"real-seed-maps","Complexo Helix",6,126.64,74,"Medico",240,3434,399,584,923.6,208.5,9,40,49,73,16444,99.4,13.61,225.3,225258,100,195,180.58,"MEDIUM"
9,90,"real-seed-maps","Necrópole Industrial",6,126.64,84,"Lutador",270,4157,618,632,937.3,300.1,9,41,50,72,23332,97.9,13.89,324.1,324052,100,204,256.82,"MEDIUM"
