sessionLabel,sessionHours,huntingLevel,potionQuantity,tier,level,className,mapName,hp,potionHealAmount,secondsPerFind,ttkSeconds,secondsPerMob,maxKillsByTime,kills,xp,xpPerScheduledHour,xpPerActiveHour,xpPerPotion,potionsUsed,potionsNeededForFullSession,potionCoveragePercent,completionPercent,hoursUntilStop,damagePerHour,finalHpPercent,riskLevel,xpVsBestPercent
"6h",6,1,0,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,667,6136,1022.67,1428.43,6136,0,7,0,71.6,4.3,163.04,0,"HIGH",100
"6h",6,1,5,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1716.8,5,7,71.4,100,6,163.28,17.31,"HIGH",100
"6h",6,1,10,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,142.9,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,20,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,285.7,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,50,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,714.3,100,6,163.28,40.14,"MEDIUM",100
"6h",6,1,100,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,933,933,8584,1430.67,1430.67,1226.29,7,7,999,100,6,163.28,40.14,"MEDIUM",100
"12h",12,1,0,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,667,6136,511.33,1428.43,6136,0,19,0,35.8,4.3,163.04,0,"HIGH",100
"12h",12,1,5,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1048,9642,803.5,1429.37,1928.4,5,19,26.3,56.2,6.75,163.13,0,"HIGH",100
"12h",12,1,10,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1429,13147,1095.58,1429.69,1314.7,10,19,52.6,76.6,9.2,163.17,0,"HIGH",98.1
"12h",12,1,20,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,105.3,100,12,163.28,37.33,"MEDIUM",100
"12h",12,1,50,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,263.2,100,12,163.28,37.33,"MEDIUM",100
"12h",12,1,100,1,10,"Lutador","Subúrbio Silencioso",701,80,15,8.15,23.15,1866,1866,17167,1430.58,1430.58,903.53,19,19,526.3,100,12,163.28,37.33,"MEDIUM",100
"6h",6,1,0,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,935,248,2108,351.33,1319.93,2108,0,10,0,26.6,1.6,153.73,0,"HIGH",34.4
"6h",6,1,5,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,935,652,5542,923.67,1323.22,1108.4,5,10,50,69.8,4.19,154.12,0,"HIGH",64.6
"6h",6,1,10,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,935,935,7948,1324.67,1324.67,794.8,10,10,100,100,6,154.28,48.92,"MEDIUM",92.6
"6h",6,1,20,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,935,935,7948,1324.67,1324.67,794.8,10,10,200,100,6,154.28,48.92,"MEDIUM",92.6
"6h",6,1,50,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,935,935,7948,1324.67,1324.67,794.8,10,10,500,100,6,154.28,48.92,"MEDIUM",92.6
"6h",6,1,100,1,10,"Assassino","Subúrbio Silencioso",246,80,15,8.09,23.09,935,935,7948,1324.67,1324.67,794.8,10,10,999,100,6,154.28,48.92,"MEDIUM",92.6
