scenarioKey,scenarioLabel,className,fromLevel,toLevel,tier,huntingLevel,xpRequired,effectiveXpPerHour,effectiveXpPerKill,killsPerHour,secondsPerFind,ttkSeconds,secondsPerMob,mapName,hoursToLevel,days24hToLevel,cumulativeHours,cumulativeDays24h,cumulativeDays12h,cumulativeDays6h
conservador,Conservador,Lutador,1,2,1,1,468,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,0.3293,0.0137,0.3293,0.0137,0.0274,0.0549
conservador,Conservador,Lutador,2,3,1,1,936,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,0.6587,0.0274,0.988,0.0412,0.0823,0.1647
conservador,Conservador,Lutador,3,4,1,1,1638,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,1.1527,0.048,2.1407,0.0892,0.1784,0.3568
conservador,Conservador,Lutador,4,5,1,1,2807,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,1.9754,0.0823,4.1161,0.1715,0.343,0.686
conservador,Conservador,Lutador,5,6,1,1,4211,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,2.9634,0.1235,7.0795,0.295,0.59,1.1799
conservador,Conservador,Lutador,6,7,1,1,6082,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,4.2801,0.1783,11.3596,0.4733,0.9466,1.8933
conservador,Conservador,Lutador,7,8,1,1,8422,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,5.9268,0.247,17.2864,0.7203,1.4405,2.8811
conservador,Conservador,Lutador,8,9,1,1,10995,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,7.7375,0.3224,25.0239,1.0427,2.0853,4.1707
conservador,Conservador,Lutador,9,10,1,1,13334,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,9.3835,0.391,34.4075,1.4336,2.8673,5.7346
conservador,Conservador,Lutador,10,11,1,1,15908,1421,9.2,155,15,8.15,23.15,Subúrbio Silencioso,11.1949,0.4665,45.6024,1.9001,3.8002,7.6004
conservador,Conservador,Lutador,11,12,2,10,2495,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,1.5942,0.0664,47.1966,1.9665,3.9331,7.8661
conservador,Conservador,Lutador,12,13,2,10,4991,1565,16,98,12,24.52,36.52,Distrito da Ferrugem,3.1891,0.1329,50.3858,2.0994,4.1988,8.3976
