"receita";"itemDrop";"tier";"quantidadeNecessaria";"mobsFonteNoTier";"mobsAtivosNoTier";"pesoTotalEncontro";"chancePonderadaPercentual";"quantidadeEsperadaPorEncontro";"killsEsperadas";"horasEsperadas"
"Armadura de Retalhos Pesados";"Biomaterial Torácico Comum";"1";"2";"2";"6";"100";"6.65";"0.0665";"30.1";"0.18"
"Armadura de Retalhos Pesados";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Grevas de Tábua Remendada";"Biomaterial Articular Comum";"1";"2";"2";"6";"100";"17.85";"0.1785";"11.2";"0.07"
"Grevas de Tábua Remendada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Botas de Obra Remendadas";"Biomaterial de Mobilidade Comum";"1";"2";"2";"6";"100";"10.5";"0.105";"19";"0.12"
"Botas de Obra Remendadas";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Elmo de Obra Rachado";"Biomaterial Craniano Comum";"1";"2";"2";"6";"100";"10.5";"0.105";"19";"0.12"
"Elmo de Obra Rachado";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Maça de Ripa Cravada";"Biomaterial Cortante Comum";"1";"2";"2";"6";"100";"35.7";"0.357";"5.6";"0.03"
"Maça de Ripa Cravada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Machado de Lâmina Lascada";"Biomaterial Cortante Comum";"1";"2";"2";"6";"100";"35.7";"0.357";"5.6";"0.03"
"Machado de Lâmina Lascada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Escudo de Tampa Amassada";"Biomaterial Reativo Comum";"1";"2";"2";"6";"100";"6.65";"0.0665";"30.1";"0.18"
"Escudo de Tampa Amassada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Espada de Faca Alongada";"Biomaterial Cortante Comum";"1";"2";"2";"6";"100";"35.7";"0.357";"5.6";"0.03"
"Espada de Faca Alongada";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Adagas de Facas Trincadas";"Biomaterial Cortante Comum";"1";"2";"2";"6";"100";"35.7";"0.357";"5.6";"0.03"
"Adagas de Facas Trincadas";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Bombas de Lata Fumacenta";"Biomaterial Reativo Comum";"1";"2";"2";"6";"100";"6.65";"0.0665";"30.1";"0.18"
"Bombas de Lata Fumacenta";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Capuz de Moletom Rasgado";"Biomaterial Craniano Comum";"1";"2";"2";"6";"100";"10.5";"0.105";"19";"0.12"
"Capuz de Moletom Rasgado";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Traje de Rua Rasgado";"Biomaterial Torácico Comum";"1";"2";"2";"6";"100";"6.65";"0.0665";"30.1";"0.18"
"Traje de Rua Rasgado";"Resíduo Infecto Pálido";"1";"4";"6";"6";"100";"45";"0.675";"5.9";"0.04"
"Perneiras de Jeans Cortado";"Biomaterial Articular Comum";"1";"2";"2";"6";"100";"17.85";"0.1785";"11.2";"0.07"
