"tier";"receitas";"nivelGatheringRealista";"nivelCacaRealista";"qtdGatheringMedia";"qtdDropsAutoCombatMedia";"killsEsperadasDropsMedia";"horasGathering";"horasAutoCombatDrops";"horasCrafting";"horasTotais";"percentualAutoCombat";"craftsEm6hFree";"craftsEm12hPremium"
"1";"28";"5";"5";"30";"6";"23.2";"0.3";"0.14";"0";"0.45";"30.89";"13.71";"27.42"
"2";"28";"12";"12";"120";"30";"115.8";"1.31";"0.64";"0.01";"1.96";"31.71";"3.12";"6.24"
"3";"28";"18";"18";"135";"32";"133";"1.71";"0.81";"0.02";"2.54";"31.78";"2.38";"4.76"
"4";"28";"25";"25";"135";"38";"156.2";"1.89";"0.91";"0.03";"2.84";"32.04";"2.13";"4.26"
"5";"28";"30";"30";"150";"46";"182.3";"2.49";"1.16";"0.05";"3.7";"30.94";"1.64";"3.28"
"6";"0";"35";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"7";"0";"40";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8";"0";"45";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9";"0";"48";"48";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"10";"0";"50";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
