"item";"classe";"slot";"tier";"qtdGathering";"qtdDropsAutoCombat";"killsEsperadasDrops";"horasGathering";"horasAutoCombatDrops";"horasCrafting";"horasTotais";"percentualAutoCombat";"craftsEm6hFree";"craftsEm12hPremium"
"Armadura de Retalhos Pesados";"Lutador";"ARMOR";"1";"30";"6";"36";"0.3";"0.22";"0";"0.52";"42.35";"11.46";"22.92"
"Grevas de Tábua Remendada";"Lutador";"PANTS";"1";"30";"6";"17.1";"0.3";"0.1";"0";"0.41";"25.9";"14.69";"29.39"
"Botas de Obra Remendadas";"Lutador";"BOOTS";"1";"30";"6";"25";"0.3";"0.15";"0";"0.46";"33.76";"13.15";"26.3"
"Elmo de Obra Rachado";"Lutador";"HEAD";"1";"30";"6";"25";"0.3";"0.15";"0";"0.46";"33.76";"13.15";"26.3"
"Maça de Ripa Cravada";"Lutador";"MAIN_HAND";"1";"30";"6";"11.5";"0.3";"0.07";"0";"0.37";"19.04";"16.04";"32.08"
"Machado de Lâmina Lascada";"Lutador";"MAIN_HAND";"1";"30";"6";"11.5";"0.3";"0.07";"0";"0.37";"19.04";"16.04";"32.08"
"Escudo de Tampa Amassada";"Lutador";"OFF_HAND";"1";"30";"6";"36";"0.3";"0.22";"0";"0.52";"42.35";"11.46";"22.92"
"Espada de Faca Alongada";"Assassino";"MAIN_HAND";"1";"30";"6";"11.5";"0.3";"0.07";"0";"0.37";"19.04";"16.04";"32.08"
"Adagas de Facas Trincadas";"Assassino";"MAIN_HAND";"1";"30";"6";"11.5";"0.3";"0.07";"0";"0.37";"19.04";"16.04";"32.08"
"Bombas de Lata Fumacenta";"Assassino";"OFF_HAND";"1";"30";"6";"36";"0.3";"0.22";"0";"0.52";"42.35";"11.46";"22.92"
"Capuz de Moletom Rasgado";"Assassino";"HEAD";"1";"30";"6";"25";"0.3";"0.15";"0";"0.46";"33.76";"13.15";"26.3"
"Traje de Rua Rasgado";"Assassino";"ARMOR";"1";"30";"6";"36";"0.3";"0.22";"0";"0.52";"42.35";"11.46";"22.92"
"Perneiras de Jeans Cortado";"Assassino";"PANTS";"1";"30";"6";"17.1";"0.3";"0.1";"0";"0.41";"25.9";"14.69";"29.39"
"Sapatilhas de Pano Escuro";"Assassino";"BOOTS";"1";"30";"6";"25";"0.3";"0.15";"0";"0.46";"33.76";"13.15";"26.3"
"Serra de Emergência Quebrada";"Médico";"MAIN_HAND";"1";"30";"6";"11.5";"0.3";"0.07";"0";"0.37";"19.04";"16.04";"32.08"
"Desfibrilador de Rádio Improvisado";"Médico";"MAIN_HAND";"1";"30";"6";"11.5";"0.3";"0.07";"0";"0.37";"19.04";"16.04";"32.08"
"Injetor de Soro Rachado";"Médico";"OFF_HAND";"1";"30";"6";"36";"0.3";"0.22";"0";"0.52";"42.35";"11.46";"22.92"
"Máscara Clínica Rasgada";"Médico";"HEAD";"1";"30";"6";"25";"0.3";"0.15";"0";"0.46";"33.76";"13.15";"26.3"
"Colete de Primeiros Socorros";"Médico";"ARMOR";"1";"30";"6";"36";"0.3";"0.22";"0";"0.52";"42.35";"11.46";"22.92"
"Calças de Socorro Rasgadas";"Médico";"PANTS";"1";"30";"6";"17.1";"0.3";"0.1";"0";"0.41";"25.9";"14.69";"29.39"
"Sapatos de Enfermagem Gastos";"Médico";"BOOTS";"1";"30";"6";"25";"0.3";"0.15";"0";"0.46";"33.76";"13.15";"26.3"
"Rifle de Cano Curto";"Atirador";"MAIN_HAND";"1";"30";"6";"11.5";"0.3";"0.07";"0";"0.37";"19.04";"16.04";"32.08"
"Pistola de Gaveta Quebrada";"Atirador";"MAIN_HAND";"1";"30";"6";"11.5";"0.3";"0.07";"0";"0.37";"19.04";"16.04";"32.08"
"Carregador de Lata Amassada";"Atirador";"OFF_HAND";"1";"30";"6";"36";"0.3";"0.22";"0";"0.52";"42.35";"11.46";"22.92"
"Viseira de Mira Rachada";"Atirador";"HEAD";"1";"30";"6";"25";"0.3";"0.15";"0";"0.46";"33.76";"13.15";"26.3"
"Jaqueta de Couro Furado";"Atirador";"ARMOR";"1";"30";"6";"36";"0.3";"0.22";"0";"0.52";"42.35";"11.46";"22.92"
"Cargueiras de Rua Rasgadas";"Atirador";"PANTS";"1";"30";"6";"17.1";"0.3";"0.1";"0";"0.41";"25.9";"14.69";"29.39"
"Coturnos de Patrulha Gasta";"Atirador";"BOOTS";"1";"30";"6";"25";"0.3";"0.15";"0";"0.46";"33.76";"13.15";"26.3"
"Armadura de Placas Oxidadas";"Lutador";"ARMOR";"2";"120";"30";"180";"1.31";"1";"0.01";"2.32";"43.33";"2.59";"5.18"
"Grevas de Lataria Oxidada";"Lutador";"PANTS";"2";"120";"30";"180";"1.31";"1";"0.01";"2.32";"43.33";"2.59";"5.18"
"Botas de Ferrugem Cravada";"Lutador";"BOOTS";"2";"120";"30";"124.9";"1.31";"0.69";"0.01";"2.01";"34.66";"2.99";"5.97"
"Elmo de Soldador Enferrujado";"Lutador";"HEAD";"2";"120";"30";"85.7";"1.31";"0.48";"0.01";"1.79";"26.68";"3.35";"6.7"
"Maça de Engrenagem Enferrujada";"Lutador";"MAIN_HAND";"2";"120";"30";"57.6";"1.31";"0.32";"0.01";"1.64";"19.67";"3.67";"7.33"
