tier,position,mobName,mobRank,mobLevel,className,gear,reinforcement,gathering,pet,potion,characterLevel,equipmentTier,hp,attack,defense,baseTtkSeconds,ttkSeconds,ttkDeltaFromPetPercent,expectedAttacksPerKill,expectedDamagePerAttack,expectedDamagePerKill,incomingDamageMultiplier,safeKillsWithoutPotions,safeKillsWithPotions,potionName,potionHealAmount,potionBuyPrice,killsResolvedInProjection,potionsUsedInProjection,potionsPer100Kills,potionGoldPer100Kills,defeatsInProjection,defeatedAtKill,riskLevel,survives100Kills,huntingSecondsPerEnemy,killsPerHour,effectiveXpPerHour
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"NONE","NONE","NONE",1,0,218,16,13,5,5,0,4.0866,0.98,4.02,1,54,54,"Poção de Vida Menor",80,25,55,0,0,0,1,55,"HIGH",false,15,180,1260
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"NONE","NONE","CURRENT_TIER",1,0,218,16,13,5,5,0,4.0866,0.98,4.02,1,54,100,"Poção de Vida Menor",80,25,100,4,4,100,0,,"LOW",true,15,180,1260
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"NONE","CURRENT_TIER","NONE",1,0,218,16,13,5,4.85,3,4.0684,0.98,4,1,54,54,"Poção de Vida Menor",80,25,55,0,0,0,1,55,"HIGH",false,15,181.36,1269.52
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"NONE","CURRENT_TIER","CURRENT_TIER",1,0,218,16,13,5,4.85,3,4.0684,0.98,4,1,54,100,"Poção de Vida Menor",80,25,100,4,4,100,0,,"LOW",true,15,181.36,1269.52
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"RECOMMENDED","NONE","NONE",1,0,218,16,13,5,5,0,4.0866,0.98,4.02,1,54,54,"Poção de Vida Menor",80,25,55,0,0,0,1,55,"HIGH",false,15,180,1260
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"RECOMMENDED","NONE","CURRENT_TIER",1,0,218,16,13,5,5,0,4.0866,0.98,4.02,1,54,100,"Poção de Vida Menor",80,25,100,4,4,100,0,,"LOW",true,15,180,1260
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"RECOMMENDED","CURRENT_TIER","NONE",1,0,218,16,13,5,4.85,3,4.0684,0.98,4,1,54,54,"Poção de Vida Menor",80,25,55,0,0,0,1,55,"HIGH",false,15,181.36,1269.52
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"RECOMMENDED","CURRENT_TIER","CURRENT_TIER",1,0,218,16,13,5,4.85,3,4.0684,0.98,4,1,54,100,"Poção de Vida Menor",80,25,100,4,4,100,0,,"LOW",true,15,181.36,1269.52
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"FULL","NONE","NONE",1,0,1100,90,237,2,2,0,3.7094,0.81,3,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"FULL","NONE","CURRENT_TIER",1,0,1100,90,237,2,2,0,3.7094,0.81,3,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,211.76,1482.35
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"FULL","CURRENT_TIER","NONE",1,0,1100,90,237,2,1.94,3,3.7016,0.81,2.99,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","PREVIOUS",0,"FULL","CURRENT_TIER","CURRENT_TIER",1,0,1100,90,237,2,1.94,3,3.7016,0.81,2.99,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,212.51,1487.6
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"NONE","NONE","NONE",1,0.5,287,36,26,3,3,0,1.997,0.98,1.96,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"NONE","NONE","CURRENT_TIER",1,0.5,287,36,26,3,3,0,1.997,0.98,1.96,1,100,100,"Poção de Vida Menor",80,25,100,1,1,25,0,,"LOW",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"NONE","CURRENT_TIER","NONE",1,0.5,287,36,26,3,2.91,3,1.991,0.98,1.96,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"NONE","CURRENT_TIER","CURRENT_TIER",1,0.5,287,36,26,3,2.91,3,1.991,0.98,1.96,1,100,100,"Poção de Vida Menor",80,25,100,1,1,25,0,,"LOW",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"RECOMMENDED","NONE","NONE",1,0.5,287,36,26,3,3,0,1.997,0.98,1.96,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"RECOMMENDED","NONE","CURRENT_TIER",1,0.5,287,36,26,3,3,0,1.997,0.98,1.96,1,100,100,"Poção de Vida Menor",80,25,100,1,1,25,0,,"LOW",true,15,200,1400
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"RECOMMENDED","CURRENT_TIER","NONE",1,0.5,287,36,26,3,2.91,3,1.991,0.98,1.96,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"MEDIUM",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"RECOMMENDED","CURRENT_TIER","CURRENT_TIER",1,0.5,287,36,26,3,2.91,3,1.991,0.98,1.96,1,100,100,"Poção de Vida Menor",80,25,100,1,1,25,0,,"LOW",true,15,201.01,1407.04
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"FULL","NONE","NONE",1,0.5,1169,110,250,1,1,0,1.861,0.81,1.51,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
1,"START","Errante do Subúrbio",1,1,"Lutador","MIXED",0,"FULL","NONE","CURRENT_TIER",1,0.5,1169,110,250,1,1,0,1.861,0.81,1.51,1,100,100,"Poção de Vida Menor",80,25,100,0,0,0,0,,"LOW",true,15,225,1575
