tier,level,mapName,className,hp,defense,agility,potionHealAmount,encounterCount,totalEncounterWeight,weightedMobLevel,averageDamagePerBattle,damagePer1000Battles,noPotionBattles,potions10Battles,potions25Battles,potions50Battles,potions100Battles,noPotionVsBestPercent,potions100VsBestPercent,strongestMobNoPotionBattles,strongestMob25PotionsBattles,strongestMob100PotionsBattles,worstSequence25PotionsBattles,worstSequence100PotionsBattles,riskWith100Potions
1,10,"Subúrbio Silencioso","Lutador",701,96,2,210,6,139.67,4.2,1.07,1070,655,2617,5561,10468,20281,100,81.3,345,2931,10690,3915,14276,"HIGH"
1,10,"Subúrbio Silencioso","Assassino",246,4,44,73,6,139.67,4.2,1.98,1980,124,492,1045,1967,3811,18.9,15.3,32,276,1007,358,1305,"HIGH"
1,10,"Subúrbio Silencioso","Atirador",268,6,38,80,6,139.67,4.2,1.86,1860,144,574,1219,2294,4445,22,17.8,34,293,1068,407,1487,"HIGH"
1,10,"Subúrbio Silencioso","Medico",632,94,2,283,6,139.67,4.2,1.16,1160,544,2984,6643,12743,24941,83.1,100,311,3796,14252,3796,14252,"HIGH"
2,20,"Distrito da Ferrugem","Lutador",1229,186,6,368,6,139.67,14.2,2.32,2320,529,2115,4495,8460,16391,100,83.9,199,1690,6163,2032,7413,"HIGH"
2,20,"Distrito da Ferrugem","Assassino",402,10,82,120,6,139.67,14.2,6.19,6190,64,258,549,1034,2003,12.1,10.2,22,193,706,238,869,"HIGH"
2,20,"Distrito da Ferrugem","Atirador",424,14,74,127,6,139.67,14.2,5.61,5610,75,301,641,1207,2339,14.2,12,25,213,780,273,996,"HIGH"
2,20,"Distrito da Ferrugem","Medico",1112,184,2,499,6,139.67,14.2,2.61,2610,426,2337,5205,9985,19544,80.5,100,134,1646,6183,2202,8267,"HIGH"
3,30,"Hospital Santa Ruína","Lutador",1739,274,8,521,6,139.67,24.2,7.69,7690,226,903,1919,3613,7001,100,87.7,66,567,2068,768,2801,"HIGH"
3,30,"Hospital Santa Ruína","Assassino",534,14,118,160,6,139.67,24.2,19.41,19410,27,109,233,439,851,11.9,10.7,10,91,332,110,403,"HIGH"
3,30,"Hospital Santa Ruína","Atirador",550,16,110,165,6,139.67,24.2,18.68,18680,29,117,250,471,912,12.8,11.4,11,95,347,116,423,"HIGH"
3,30,"Hospital Santa Ruína","Medico",1580,272,4,711,6,139.67,24.2,9.1,9100,173,954,2126,4080,7986,76.5,100,50,617,2320,826,3102,"HIGH"
4,40,"Terminal dos Esquecidos","Lutador",2261,364,10,678,6,139.67,34.2,14.84,14840,152,609,1294,2436,4721,100,88.8,45,386,1410,499,1822,"HIGH"
