tier,level,source,mapName,encounterCount,totalEncounterWeight,averageMobLevel,className,equipmentPoints,hp,attack,defense,power,mobXp,secondsPerFind,ttkSeconds,secondsPerMob,killsPerHour,effectiveXpPerHour,xpPerHourVsBestPercent,timeHours,effectiveXpPerKill,effectiveXpPerSample,xpVsBestPercent,potionsUsed,expectedDamagePerKill,riskLevel
1,10,"real-seed-maps","Subúrbio Silencioso",6,136.54,4.1,"Lutador",30,701,84,96,90,8.9,7,8.75,15.75,228,2197,100,0.44,9.6,964,100,0,1.07,"LOW"
1,10,"real-seed-maps","Subúrbio Silencioso",6,136.54,4.1,"Assassino",30,246,86,4,129.9,8.9,7,8.68,15.68,229,2048,93.2,0.44,8.9,895,92.8,0,1.04,"LOW"
1,10,"real-seed-maps","Subúrbio Silencioso",6,136.54,4.1,"Atirador",30,268,88,6,130.5,8.9,7,8.37,15.37,234,2093,95.3,0.43,8.9,895,92.8,0,1.02,"LOW"
1,10,"real-seed-maps","Subúrbio Silencioso",6,136.54,4.1,"Medico",30,632,62,94,74.9,8.9,7,9.23,16.23,221,2130,97,0.45,9.6,964,100,0,1.15,"LOW"
2,20,"real-seed-maps","Distrito da Ferrugem",6,136.54,14.1,"Lutador",60,1229,160,186,180.6,15.1,7,25.62,32.62,110,1807,100,0.91,16.4,1642,100,0,2.3,"LOW"
2,20,"real-seed-maps","Distrito da Ferrugem",6,136.54,14.1,"Assassino",60,402,160,10,355.8,15.1,7,23.93,30.93,116,1749,96.8,0.86,15.1,1508,91.8,0,2.16,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,136.54,14.1,"Atirador",60,424,160,14,355.3,15.1,7,23.93,30.93,116,1749,96.8,0.86,15.1,1508,91.8,0,1.96,"MEDIUM"
2,20,"real-seed-maps","Distrito da Ferrugem",6,136.54,14.1,"Medico",60,1112,114,184,155.9,15.1,7,25.87,32.87,109,1790,99.1,0.91,16.4,1642,100,0,2.58,"LOW"
3,30,"real-seed-maps","Hospital Santa Ruína",6,136.54,24.1,"Lutador",90,1739,236,274,281.9,27.1,7,32.76,39.76,90,2649,100,1.1,29.4,2944,100,0,7.6,"LOW"
3,30,"real-seed-maps","Hospital Santa Ruína",6,136.54,24.1,"Assassino",90,534,236,14,726.5,27.1,7,30.07,37.07,97,2585,97.6,1.03,26.7,2665,90.5,3,8.15,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,136.54,24.1,"Atirador",90,550,240,16,751.2,27.1,7,30.07,37.07,97,2585,97.6,1.03,26.7,2665,90.5,3,7.88,"MEDIUM"
3,30,"real-seed-maps","Hospital Santa Ruína",6,136.54,24.1,"Medico",90,1580,164,272,254.3,27.1,7,32.76,39.76,90,2649,100,1.1,29.4,2944,100,0,9,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,136.54,34.1,"Lutador",120,2261,306,364,383.9,43.7,7,39,46,78,3684,100,1.28,47.2,4723,100,0,14.67,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,136.54,34.1,"Assassino",120,672,310,18,1161.2,43.7,7,35,42,85,3626,98.4,1.17,42.7,4266,90.3,6,15.68,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,136.54,34.1,"Atirador",120,694,318,20,1225.5,43.7,7,35,42,85,3626,98.4,1.17,42.7,4266,90.3,6,15.06,"MEDIUM"
4,40,"real-seed-maps","Terminal dos Esquecidos",6,136.54,34.1,"Medico",120,2054,213,362,380.8,43.7,7,39,46,78,3684,100,1.28,47.2,4723,100,1,17.56,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,136.54,44.1,"Lutador",150,2801,382,458,488.4,66.9,7,40,47,76,5486,97.4,1.31,72.2,7219,100,2,28.79,"LOW"
5,50,"real-seed-maps","Zona de Quarentena 9",6,136.54,44.1,"Assassino",150,804,384,20,1722.5,66.9,7,35,42,85,5574,99,1.17,65.6,6558,90.8,10,28.06,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,136.54,44.1,"Atirador",150,832,394,24,1851.4,66.9,7,35,42,85,5574,99,1.17,65.6,6558,90.8,9,26.82,"MEDIUM"
5,50,"real-seed-maps","Zona de Quarentena 9",6,136.54,44.1,"Medico",150,2528,267,452,534.8,66.9,7,39,46,78,5631,100,1.28,72.2,7219,100,2,34.22,"MEDIUM"
