tier,level,mapName,subMapName,className,rank,mobName,mobLevel,mobAttack,mobHp,baseWeight,averageWeight,probabilityPercent,expectedKillsPer1000,expectedDamagePerBattle,expectedMobHitDamage,expectedDodgeChancePercent,expectedCriticalChancePercent,noPotionBattles,potions25Battles,potions100Battles
1,10,"Subúrbio Silencioso","Rua das Cercas","Lutador",1,"Errante do Subúrbio",1,2,43,42,42,30.08,300.8,0.98,1,3.55,4.42,715,6072,22143
1,10,"Subúrbio Silencioso","Rua das Cercas","Lutador",2,"Gato de Telhado Contaminado",4,4,79,24,35.89,25.7,257,1,1,2.2,5.32,700,5950,21700
1,10,"Subúrbio Silencioso","Quintais Abandonados","Lutador",3,"Rastejante de Garagem",4,4,86,15,21.96,15.72,157.2,1,1,2.2,5.32,700,5950,21700
1,10,"Subúrbio Silencioso","Quintais Abandonados","Lutador",4,"Morcego de Caixa d’Água",7,7,127,9,17.92,12.83,128.3,1.01,1,2,6.4,694,5892,21486
1,10,"Subúrbio Silencioso","Bloco do Síndico","Lutador",5,"Porteiro Infectado",7,8,138,6,11.95,8.55,85.5,1.01,1,2,6.22,694,5892,21486
1,10,"Subúrbio Silencioso","Bloco do Síndico","Lutador",6,"Síndico Devorado",10,12,206,4,9.95,7.12,71.2,2.03,2,2,7.3,345,2931,10690
1,10,"Subúrbio Silencioso","Rua das Cercas","Assassino",1,"Errante do Subúrbio",1,1,43,42,42,30.08,300.8,0.79,1,22.45,3,311,2621,9551
1,10,"Subúrbio Silencioso","Rua das Cercas","Assassino",2,"Gato de Telhado Contaminado",4,2,79,24,35.89,25.7,257,0.8,1,21.1,3,307,2588,9432
1,10,"Subúrbio Silencioso","Quintais Abandonados","Assassino",3,"Rastejante de Garagem",4,2,86,15,21.96,15.72,157.2,0.8,1,21.1,3,307,2588,9432
1,10,"Subúrbio Silencioso","Quintais Abandonados","Assassino",4,"Morcego de Caixa d’Água",7,3,127,9,17.92,12.83,128.3,0.82,1,19.3,3,300,2525,9202
1,10,"Subúrbio Silencioso","Bloco do Síndico","Assassino",5,"Porteiro Infectado",7,4,138,6,11.95,8.55,85.5,1.63,2,19.75,3,150,1270,4629
1,10,"Subúrbio Silencioso","Bloco do Síndico","Assassino",6,"Síndico Devorado",10,6,206,4,9.95,7.12,71.2,3.33,4,17.95,3,73,621,2266
1,10,"Subúrbio Silencioso","Rua das Cercas","Atirador",1,"Errante do Subúrbio",1,1,43,42,42,30.08,300.8,0.81,1,19.75,3,330,2799,10207
1,10,"Subúrbio Silencioso","Rua das Cercas","Atirador",2,"Gato de Telhado Contaminado",4,2,79,24,35.89,25.7,257,0.83,1,18.4,3,322,2732,9961
1,10,"Subúrbio Silencioso","Quintais Abandonados","Atirador",3,"Rastejante de Garagem",4,2,86,15,21.96,15.72,157.2,0.83,1,18.4,3,322,2732,9961
1,10,"Subúrbio Silencioso","Quintais Abandonados","Atirador",4,"Morcego de Caixa d’Água",7,3,127,9,17.92,12.83,128.3,0.85,1,16.6,3,315,2668,9727
1,10,"Subúrbio Silencioso","Bloco do Síndico","Atirador",5,"Porteiro Infectado",7,4,138,6,11.95,8.55,85.5,1.68,2,17.05,3,159,1349,4921
1,10,"Subúrbio Silencioso","Bloco do Síndico","Atirador",6,"Síndico Devorado",10,6,206,4,9.95,7.12,71.2,2.58,3,15.25,3,103,879,3204
1,10,"Subúrbio Silencioso","Rua das Cercas","Medico",1,"Errante do Subúrbio",1,2,43,42,42,30.08,300.8,0.98,1,3.55,4.42,644,6665,24726
1,10,"Subúrbio Silencioso","Rua das Cercas","Medico",2,"Gato de Telhado Contaminado",4,4,79,24,35.89,25.7,257,1,1,2.2,5.32,631,6531,24231
1,10,"Subúrbio Silencioso","Quintais Abandonados","Medico",3,"Rastejante de Garagem",4,4,86,15,21.96,15.72,157.2,1,1,2.2,5.32,631,6531,24231
1,10,"Subúrbio Silencioso","Quintais Abandonados","Medico",4,"Morcego de Caixa d’Água",7,8,127,9,17.92,12.83,128.3,1.01,1,2,6.4,625,6467,23992
1,10,"Subúrbio Silencioso","Bloco do Síndico","Medico",5,"Porteiro Infectado",7,9,138,6,11.95,8.55,85.5,2.02,2,2,6.22,312,3233,11996
1,10,"Subúrbio Silencioso","Bloco do Síndico","Medico",6,"Síndico Devorado",10,14,206,4,9.95,7.12,71.2,2.03,2,2,7.3,311,3217,11936
2,20,"Distrito da Ferrugem","Pátio de Carga","Lutador",1,"Carregador de Paletes Infectado",11,7,152,42,42,30.08,300.8,0.99,1,4,5.68,1241,10534,38413
2,20,"Distrito da Ferrugem","Pátio de Carga","Lutador",2,"Arrastador de Correntes",14,12,233,24,35.89,25.7,257,2.03,2,2,6.94,605,5137,18733
2,20,"Distrito da Ferrugem","Linha de Prensas","Lutador",3,"Operário Prensado",14,12,252,15,21.96,15.72,157.2,2.02,2,2.2,6.76,608,5162,18826
2,20,"Distrito da Ferrugem","Linha de Prensas","Lutador",4,"Esmagado da Prensa",17,19,342,9,17.92,12.83,128.3,3.06,3,2,8.02,401,3408,12427
2,20,"Distrito da Ferrugem","Galpão do Capataz","Lutador",5,"Vigia do Galpão Infectado",17,21,373,6,11.95,8.55,85.5,4.08,4,2,8.02,301,2556,9320
2,20,"Distrito da Ferrugem","Galpão do Capataz","Lutador",6,"Capataz Ferrugento",20,31,527,4,9.95,7.12,71.2,6.17,6,2,9.28,199,1690,6163
2,20,"Distrito da Ferrugem","Pátio de Carga","Assassino",1,"Carregador de Paletes Infectado",11,3,152,42,42,30.08,300.8,0.73,1,28,3,550,4660,16989
2,20,"Distrito da Ferrugem","Pátio de Carga","Assassino",2,"Arrastador de Correntes",14,6,233,24,35.89,25.7,257,1.46,2,28,3,275,2330,8494
2,20,"Distrito da Ferrugem","Linha de Prensas","Assassino",3,"Operário Prensado",14,6,252,15,21.96,15.72,157.2,1.46,2,28,3,275,2330,8494
2,20,"Distrito da Ferrugem","Linha de Prensas","Assassino",4,"Esmagado da Prensa",17,9,342,9,17.92,12.83,128.3,3.66,5,28,3,109,929,3388
2,20,"Distrito da Ferrugem","Galpão do Capataz","Assassino",5,"Vigia do Galpão Infectado",17,10,373,6,11.95,8.55,85.5,4.39,6,28,3,91,774,2825
2,20,"Distrito da Ferrugem","Galpão do Capataz","Assassino",6,"Capataz Ferrugento",20,15,527,4,9.95,7.12,71.2,7.31,10,28,3,54,465,1696
2,20,"Distrito da Ferrugem","Pátio de Carga","Atirador",1,"Carregador de Paletes Infectado",11,3,152,42,42,30.08,300.8,0.73,1,28,3,580,4930,17978
2,20,"Distrito da Ferrugem","Pátio de Carga","Atirador",2,"Arrastador de Correntes",14,6,233,24,35.89,25.7,257,1.46,2,28,3,290,2465,8989
2,20,"Distrito da Ferrugem","Linha de Prensas","Atirador",3,"Operário Prensado",14,6,252,15,21.96,15.72,157.2,1.46,2,28,3,290,2465,8989
2,20,"Distrito da Ferrugem","Linha de Prensas","Atirador",4,"Esmagado da Prensa",17,9,342,9,17.92,12.83,128.3,2.92,4,28,3,145,1232,4494
2,20,"Distrito da Ferrugem","Galpão do Capataz","Atirador",5,"Vigia do Galpão Infectado",17,10,373,6,11.95,8.55,85.5,3.66,5,28,3,115,983,3585
2,20,"Distrito da Ferrugem","Galpão do Capataz","Atirador",6,"Capataz Ferrugento",20,15,527,4,9.95,7.12,71.2,6.58,9,28,3,64,546,1994
2,20,"Distrito da Ferrugem","Pátio de Carga","Medico",1,"Carregador de Paletes Infectado",11,8,152,42,42,30.08,300.8,1.01,1,2.2,6.16,1100,11398,42289
2,20,"Distrito da Ferrugem","Pátio de Carga","Medico",2,"Arrastador de Correntes",14,13,233,24,35.89,25.7,257,2.03,2,2,7.42,547,5670,21040
2,20,"Distrito da Ferrugem","Linha de Prensas","Medico",3,"Operário Prensado",14,14,252,15,21.96,15.72,157.2,2.03,2,2,7.24,547,5670,21040
2,20,"Distrito da Ferrugem","Linha de Prensas","Medico",4,"Esmagado da Prensa",17,21,342,9,17.92,12.83,128.3,4.09,4,2,8.5,271,2814,10443
2,20,"Distrito da Ferrugem","Galpão do Capataz","Medico",5,"Vigia do Galpão Infectado",17,24,373,6,11.95,8.55,85.5,4.09,4,2,8.5,271,2814,10443
2,20,"Distrito da Ferrugem","Galpão do Capataz","Medico",6,"Capataz Ferrugento",20,35,527,4,9.95,7.12,71.2,8.25,8,2,9.76,134,1395,5177
3,30,"Hospital Santa Ruína","Triagem Vazia","Lutador",1,"Paciente Febril Errante",21,19,462,42,42,30.08,300.8,3,3,3.55,7.18,579,4921,17946
3,30,"Hospital Santa Ruína","Triagem Vazia","Lutador",2,"Mosca de Ferida Contaminada",24,31,657,24,35.89,25.7,257,6.15,6,2,8.44,282,2400,8754
