tier,className,potionQuantity,safeBattles,potionsUsed,finalHp,finalHpPercent,riskLevel
1,"Lutador",0,655,0,0,0,"HIGH"
1,"Lutador",10,2617,10,0,0,"HIGH"
1,"Lutador",25,5561,25,0,0,"HIGH"
1,"Lutador",50,10468,50,0,0,"HIGH"
1,"Lutador",100,20281,100,0,0,"HIGH"
1,"Assassino",0,234,0,0,0,"HIGH"
1,"Assassino",10,929,10,0,0,"HIGH"
1,"Assassino",25,1972,25,0,0,"HIGH"
1,"Assassino",50,3710,50,0,0,"HIGH"
1,"Assassino",100,7186,100,0,0,"HIGH"
1,"Atirador",0,262,0,0,0,"HIGH"
1,"Atirador",10,1047,10,0,0,"HIGH"
1,"Atirador",25,2223,25,0,0,"HIGH"
1,"Atirador",50,4184,50,0,0,"HIGH"
1,"Atirador",100,8105,100,0,0,"HIGH"
1,"Medico",0,544,0,0,0,"HIGH"
1,"Medico",10,2579,10,0,0,"HIGH"
1,"Medico",25,5631,25,0,0,"HIGH"
1,"Medico",50,10717,50,0,0,"HIGH"
1,"Medico",100,20889,100,0,0,"HIGH"
2,"Lutador",0,529,0,0,0,"HIGH"
2,"Lutador",10,2115,10,0,0,"HIGH"
2,"Lutador",25,4495,25,0,0,"HIGH"
2,"Lutador",50,8460,50,0,0,"HIGH"
2,"Lutador",100,16391,100,0,0,"HIGH"
2,"Assassino",0,183,0,0,0,"HIGH"
2,"Assassino",10,731,10,0,0,"HIGH"
2,"Assassino",25,1553,25,0,0,"HIGH"
2,"Assassino",50,2923,50,0,0,"HIGH"
2,"Assassino",100,5663,100,0,0,"HIGH"
2,"Atirador",0,214,0,0,0,"HIGH"
2,"Atirador",10,855,10,0,0,"HIGH"
2,"Atirador",25,1817,25,0,0,"HIGH"
2,"Atirador",50,3421,50,0,0,"HIGH"
2,"Atirador",100,6628,100,0,0,"HIGH"
2,"Medico",0,426,0,0,0,"HIGH"
2,"Medico",10,2019,10,0,0,"HIGH"
2,"Medico",25,4410,25,0,0,"HIGH"
2,"Medico",50,8395,50,0,0,"HIGH"
2,"Medico",100,16364,100,0,0,"HIGH"
3,"Lutador",0,226,0,0,0,"HIGH"
3,"Lutador",10,903,10,0,0,"HIGH"
3,"Lutador",25,1919,25,0,0,"HIGH"
3,"Lutador",50,3613,50,0,0,"HIGH"
3,"Lutador",100,7001,100,0,0,"HIGH"
3,"Assassino",0,64,0,0,0,"HIGH"
3,"Assassino",10,258,10,0,0,"HIGH"
3,"Assassino",25,550,25,0,0,"HIGH"
3,"Assassino",50,1035,50,0,0,"HIGH"
3,"Assassino",100,2006,100,0,0,"HIGH"
3,"Atirador",0,69,0,0,0,"HIGH"
3,"Atirador",10,276,10,0,0,"HIGH"
3,"Atirador",25,586,25,0,0,"HIGH"
3,"Atirador",50,1104,50,0,0,"HIGH"
3,"Atirador",100,2139,100,0,0,"HIGH"
3,"Medico",0,173,0,0,0,"HIGH"
3,"Medico",10,824,10,0,0,"HIGH"
3,"Medico",25,1800,25,0,0,"HIGH"
