"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"caracteristicasDoItem";"materiaisGatheringAtuais";"qtdMateriaisGatheringAtuais";"problemasAtuais";"proposta3Materiais";"materiaisMantidos";"materiaisAdicionados"
"Armadura de Retalhos Pesados";"Lutador";"ARMOR";"Armadura";"1";"COMMON";"Subúrbio Silencioso";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Placa de Portão Leve + Placa de Porta Leve + Jaqueta Remendada";"3";"ok";"Placa de Portão Leve + Placa de Porta Leve + Jaqueta Remendada";"Placa de Portão Leve, Placa de Porta Leve, Jaqueta Remendada";""
"Armadura de Placas Oxidadas";"Lutador";"ARMOR";"Armadura";"2";"COMMON";"Distrito da Ferrugem";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Lataria Enferrujada + Colete de Operário Gasto";"2";"usa 2 material(is) de gathering; alvo: 3";"Lataria Enferrujada + Colete de Operário Gasto + Vedação de Oficina Sanitária";"Lataria Enferrujada, Colete de Operário Gasto";"Vedação de Oficina Sanitária"
"Armadura de Maca Reforçada";"Lutador";"ARMOR";"Armadura";"3";"UNCOMMON";"Hospital Santa Ruína";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Estrutura de Maca Dobrada + Avental Hospitalar Grosso";"2";"usa 2 material(is) de gathering; alvo: 3";"Estrutura de Maca Dobrada + Avental Hospitalar Grosso + Placa de Isolamento Clínico";"Estrutura de Maca Dobrada, Avental Hospitalar Grosso";"Placa de Isolamento Clínico"
"Armadura de Bagageiro Rebitado";"Lutador";"ARMOR";"Armadura";"4";"UNCOMMON";"Terminal dos Esquecidos";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Painel de Bagageiro Amassado + Forro de Assento Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Painel de Bagageiro Amassado + Forro de Assento Rasgado + Lacre Sanitário de Cabine";"Painel de Bagageiro Amassado, Forro de Assento Rasgado";"Lacre Sanitário de Cabine"
"Armadura de Barreira Selada";"Lutador";"ARMOR";"Armadura";"5";"RARE";"Zona de Quarentena 9";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Painel de Barreira Selada + Colete Antimordida Rasgado";"2";"usa 2 material(is) de gathering; alvo: 3";"Painel de Barreira Selada + Colete Antimordida Rasgado + Resina de Quarentena Verde";"Painel de Barreira Selada, Colete Antimordida Rasgado";"Resina de Quarentena Verde"
"Armadura de Caldeira Cinzenta";"Lutador";"ARMOR";"Armadura";"6";"RARE";"Refinaria do Pó Cinzento";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Placa de Caldeira Pesada + Manta Térmica Queimada";"2";"usa 2 material(is) de gathering; alvo: 3";"Placa de Caldeira Pesada + Manta Térmica Queimada + Avental Antióleo Reforçado";"Placa de Caldeira Pesada, Manta Térmica Queimada";"Avental Antióleo Reforçado"
"Armadura de Barricada Mutagênica";"Lutador";"ARMOR";"Armadura";"7";"EPIC";"Avenida dos Caídos";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Placa Antimotim Recortada (Desmanche T7 Armadura) + Colete Tático Rasgado (Coleta T7 Armadura)";"2";"usa 2 material(is) de gathering; alvo: 3";"Placa Antimotim Recortada (Desmanche T7 Armadura) + Colete Tático Rasgado (Coleta T7 Armadura) + Placa Cerâmica Roxa";"Placa Antimotim Recortada (Desmanche T7 Armadura), Colete Tático Rasgado (Coleta T7 Armadura)";"Placa Cerâmica Roxa"
"Armadura de Carcaça Helix";"Lutador";"ARMOR";"Armadura";"8";"EPIC";"Complexo Helix";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Carcaça Experimental Helix + Revestimento de Polímero Helix (Coleta T8 Armadura)";"2";"usa 2 material(is) de gathering; alvo: 3";"Carcaça Experimental Helix + Revestimento de Polímero Helix (Coleta T8 Armadura) + Revestimento de Polímero Helix (Patrulha T8 Armadura)";"Carcaça Experimental Helix, Revestimento de Polímero Helix (Coleta T8 Armadura)";"Revestimento de Polímero Helix (Patrulha T8 Armadura)"
"Armadura Titânica da Necrópole";"Lutador";"ARMOR";"Armadura";"9";"LEGENDARY";"Necrópole Industrial";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Câmara de Vedação Carmesim (Contenção T9 Armadura) + Malha de Fibra Pesada (Coleta T9 Armadura)";"2";"usa 2 material(is) de gathering; alvo: 3";"Câmara de Vedação Carmesim (Contenção T9 Armadura) + Malha de Fibra Pesada (Coleta T9 Armadura) + Malha de Fibra Médica";"Câmara de Vedação Carmesim (Contenção T9 Armadura), Malha de Fibra Pesada (Coleta T9 Armadura)";"Malha de Fibra Médica"
"Armadura do Marco Zero";"Lutador";"ARMOR";"Armadura";"10";"LEGENDARY";"Marco Zero";"placa, portao, porta, colete, jaqueta, retalho, lona, malha";"Núcleo Rubro de Quarentena + Manta de Fibra Rubra (Coleta T10 Armadura)";"2";"usa 2 material(is) de gathering; alvo: 3 | mesma combina??o de gathering repetida 2x";"Núcleo Rubro de Quarentena + Manta de Fibra Rubra (Coleta T10 Armadura) + Placas Titânicas do Marco";"Núcleo Rubro de Quarentena, Manta de Fibra Rubra (Coleta T10 Armadura)";"Placas Titânicas do Marco"
"Grevas de Tábua Remendada";"Lutador";"PANTS";"Grevas";"1";"COMMON";"Subúrbio Silencioso";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Apoio de Madeira Rachado + Retalho de Jeans Grosso + Retalho de Calça Grossa";"3";"ok";"Apoio de Madeira Rachado + Retalho de Jeans Grosso + Retalho de Calça Grossa";"Apoio de Madeira Rachado, Retalho de Jeans Grosso, Retalho de Calça Grossa";""
"Grevas de Lataria Oxidada";"Lutador";"PANTS";"Grevas";"2";"COMMON";"Distrito da Ferrugem";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Casco de Solda Enferrujado + Bainha de Uniforme Gasta (Coleta T2 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Solda Enferrujado + Bainha de Uniforme Gasta (Coleta T2 Pernas) + Ponta de Chave de Fenda";"Casco de Solda Enferrujado, Bainha de Uniforme Gasta (Coleta T2 Pernas)";"Ponta de Chave de Fenda"
"Grevas de Tala Clínica";"Lutador";"PANTS";"Grevas";"3";"UNCOMMON";"Hospital Santa Ruína";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Arco de Protetor Facial + Acolchoado de Maca (Coleta T3 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Arco de Protetor Facial + Acolchoado de Maca (Coleta T3 Pernas) + Lâmina de Tesoura Clínica";"Arco de Protetor Facial, Acolchoado de Maca (Coleta T3 Pernas)";"Lâmina de Tesoura Clínica"
"Grevas de Escada Rolante";"Lutador";"PANTS";"Grevas";"4";"UNCOMMON";"Terminal dos Esquecidos";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Casco de Segurança Amassado + Tapete de Embarque Desfiado (Coleta T4 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Casco de Segurança Amassado + Tapete de Embarque Desfiado (Coleta T4 Pernas) + Bolsa de Cartuchos de Sinalização";"Casco de Segurança Amassado, Tapete de Embarque Desfiado (Coleta T4 Pernas)";"Bolsa de Cartuchos de Sinalização"
"Grevas de Câmara Selada";"Lutador";"PANTS";"Grevas";"5";"RARE";"Zona de Quarentena 9";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Aro de Câmara de Desinfecção + Acolchoado Antimordida (Coleta T5 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Aro de Câmara de Desinfecção + Acolchoado Antimordida (Coleta T5 Pernas) + Clip de Cápsulas Verdes";"Aro de Câmara de Desinfecção, Acolchoado Antimordida (Coleta T5 Pernas)";"Clip de Cápsulas Verdes"
"Grevas de Duto Cinzento";"Lutador";"PANTS";"Grevas";"6";"RARE";"Refinaria do Pó Cinzento";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Chapa de Caldeira Serrada + Avental de Borracha Carbonizado (Coleta T6 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Chapa de Caldeira Serrada + Avental de Borracha Carbonizado (Coleta T6 Pernas) + Estojo de Munição Química";"Chapa de Caldeira Serrada, Avental de Borracha Carbonizado (Coleta T6 Pernas)";"Estojo de Munição Química"
"Grevas de Para-choque Tático";"Lutador";"PANTS";"Grevas";"7";"EPIC";"Avenida dos Caídos";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Joelheira Paramédica Rasgada + Joelheira Tática Rasgada (Coleta T7 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Joelheira Paramédica Rasgada + Joelheira Tática Rasgada (Coleta T7 Pernas) + Joelheira Tática Rasgada (Patrulha T7 Pernas)";"Joelheira Paramédica Rasgada, Joelheira Tática Rasgada (Coleta T7 Pernas)";"Joelheira Tática Rasgada (Patrulha T7 Pernas)"
"Grevas de Articulação Helix";"Lutador";"PANTS";"Grevas";"8";"EPIC";"Complexo Helix";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Polímero Articulado Clínico + Revestimento de Polímero Articulado";"2";"usa 2 material(is) de gathering; alvo: 3";"Polímero Articulado Clínico + Revestimento de Polímero Articulado + Cartucho Modular Helix";"Polímero Articulado Clínico, Revestimento de Polímero Articulado";"Cartucho Modular Helix"
"Grevas Titânicas da Necrópole";"Lutador";"PANTS";"Grevas";"9";"LEGENDARY";"Necrópole Industrial";"tala, joelheira, calca, jeans, retalho, apoio, madeira, cinto";"Câmara de Vedação Carmesim (Contenção T9 Off Hand) + Trama de Fibra Pesada (Coleta T9 Pernas)";"2";"usa 2 material(is) de gathering; alvo: 3";"Câmara de Vedação Carmesim (Contenção T9 Off Hand) + Trama de Fibra Pesada (Coleta T9 Pernas) + Cilindro de Munição Carmesim";"Câmara de Vedação Carmesim (Contenção T9 Off Hand), Trama de Fibra Pesada (Coleta T9 Pernas)";"Cilindro de Munição Carmesim"
