"item";"classe";"slot";"familia";"tier";"raridade";"mapa";"materialPrincipal";"origemPrincipal";"qtdPrincipal";"materialSecundario";"origemSecundaria";"qtdSecundario";"materialTerciario";"origemTerciaria";"qtdTerciario";"biomaterial";"qtdBiomaterial";"residuo";"qtdResiduo";"motivo"
"Armadura de Retalhos Pesados";"Lutador";"ARMOR";"Armadura";"1";"COMMON";"Subúrbio Silencioso";"Placa de Portão Leve";"DESMANCHE";"60";"Placa de Porta Leve";"DESMANCHE";"30";"Jaqueta Remendada";"COLETA";"30";"Biomaterial Torácico Comum";"9";"Resíduo Infecto Pálido";"16";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T1/Subúrbio Silencioso, alinhados a Armadura, ARMOR e Lutador."
"Armadura de Placas Oxidadas";"Lutador";"ARMOR";"Armadura";"2";"COMMON";"Distrito da Ferrugem";"Lataria Enferrujada";"DESMANCHE";"60";"Colete de Operário Gasto";"COLETA";"30";"Vedação de Oficina Sanitária";"CONTENCAO";"30";"Biomaterial Torácico Comum";"10";"Resíduo Infecto Pálido";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T2/Distrito da Ferrugem, alinhados a Armadura, ARMOR e Lutador."
"Armadura de Maca Reforçada";"Lutador";"ARMOR";"Armadura";"3";"UNCOMMON";"Hospital Santa Ruína";"Estrutura de Maca Dobrada";"DESMANCHE";"68";"Avental Hospitalar Grosso";"COLETA";"34";"Placa de Isolamento Clínico";"CONTENCAO";"33";"Biomaterial Torácico Incomum";"12";"Resíduo Infecto Amarelado";"20";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T3/Hospital Santa Ruína, alinhados a Armadura, ARMOR e Lutador."
"Armadura de Bagageiro Rebitado";"Lutador";"ARMOR";"Armadura";"4";"UNCOMMON";"Terminal dos Esquecidos";"Painel de Bagageiro Amassado";"DESMANCHE";"68";"Forro de Assento Rasgado";"COLETA";"34";"Lacre Sanitário de Cabine";"CONTENCAO";"33";"Biomaterial Torácico Incomum";"14";"Resíduo Infecto Amarelado";"24";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T4/Terminal dos Esquecidos, alinhados a Armadura, ARMOR e Lutador."
"Armadura de Barreira Selada";"Lutador";"ARMOR";"Armadura";"5";"RARE";"Zona de Quarentena 9";"Painel de Barreira Selada";"DESMANCHE";"75";"Colete Antimordida Rasgado";"COLETA";"38";"Resina de Quarentena Verde";"CONTENCAO";"37";"Biomaterial Torácico Raro";"16";"Resíduo Infecto Tóxico";"30";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T5/Zona de Quarentena 9, alinhados a Armadura, ARMOR e Lutador."
"Armadura de Caldeira Cinzenta";"Lutador";"ARMOR";"Armadura";"6";"RARE";"Refinaria do Pó Cinzento";"Placa de Caldeira Pesada";"DESMANCHE";"75";"Manta Térmica Queimada";"COLETA";"38";"Avental Antióleo Reforçado";"PATRULHA";"37";"Biomaterial Torácico Raro";"20";"Resíduo Infecto Tóxico";"40";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T6/Refinaria do Pó Cinzento, alinhados a Armadura, ARMOR e Lutador."
"Armadura de Barricada Mutagênica";"Lutador";"ARMOR";"Armadura";"7";"EPIC";"Avenida dos Caídos";"Placa Antimotim Recortada (Desmanche T7 Armadura)";"DESMANCHE";"83";"Colete Tático Rasgado (Coleta T7 Armadura)";"COLETA";"41";"Placa Cerâmica Roxa";"CONTENCAO";"41";"Biomaterial Torácico Épico";"22";"Resíduo Infecto Mutagênico";"50";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T7/Avenida dos Caídos, alinhados a Armadura, ARMOR e Lutador."
"Armadura de Carcaça Helix";"Lutador";"ARMOR";"Armadura";"8";"EPIC";"Complexo Helix";"Carcaça Experimental Helix";"DESMANCHE";"83";"Revestimento de Polímero Helix (Coleta T8 Armadura)";"COLETA";"41";"Revestimento de Polímero Helix (Patrulha T8 Armadura)";"PATRULHA";"41";"Biomaterial Torácico Épico";"28";"Resíduo Infecto Mutagênico";"60";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T8/Complexo Helix, alinhados a Armadura, ARMOR e Lutador."
"Armadura Titânica da Necrópole";"Lutador";"ARMOR";"Armadura";"9";"LEGENDARY";"Necrópole Industrial";"Câmara de Vedação Carmesim (Contenção T9 Armadura)";"CONTENCAO";"90";"Malha de Fibra Pesada (Coleta T9 Armadura)";"COLETA";"45";"Malha de Fibra Médica";"COLETA";"45";"Biomaterial Torácico Lendário";"32";"Resíduo Infecto Saturado";"80";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T9/Necrópole Industrial, alinhados a Armadura, ARMOR e Lutador."
"Armadura do Marco Zero";"Lutador";"ARMOR";"Armadura";"10";"LEGENDARY";"Marco Zero";"Núcleo Rubro de Quarentena";"CONTENCAO";"90";"Manta de Fibra Rubra (Coleta T10 Armadura)";"COLETA";"45";"Placas Titânicas do Marco";"DESMANCHE";"45";"Biomaterial Torácico Lendário";"36";"Resíduo Infecto Saturado";"85";"Mantem materiais atuais quando coerentes; completa para 3 materiais de gathering de T10/Marco Zero, alinhados a Armadura, ARMOR e Lutador."
