"material";"quantidade"
"Placa Antimotim Recortada (Desmanche T7 Main Hand)";"7"
"Acolchoado de Maca (Coleta T3 Pernas)";"6"
"Casco de Solda Enferrujado";"6"
"Câmara de Vedação Carmesim (Contenção T9 Off Hand)";"5"
"Atuador de Tração Helix";"4"
"Avental de Borracha Carbonizado (Coleta T6 Armadura)";"4"
"Casco de Capacete de Motim";"4"
"Colete Antimordida Rasgado";"4"
"Colete de Operário Gasto";"4"
"Filtro de Vapor Ressecado";"4"
"Forro de Assento Rasgado";"4"
"Joelheira Tática Rasgada (Patrulha T7 Pernas)";"4"
"Lâmina de Serra Enferrujada";"4"
"Lâmina Rubra de Microcorte";"4"
"Lâmina Rubra do Marco";"4"
"Manta de Fibra Rubra (Coleta T10 Armadura)";"4"
"Manta Isolante de Cabine";"4"
"Núcleo Explosivo Carmesim";"4"
"Núcleo Rubro de Esterilização (Contenção T10 Off Hand)";"4"
"Porta-cartuchos de Bagagem";"4"
"Sensor de Gás Verde (Tecnovarredura T5 Off Hand)";"4"
"Sola de Borracha Vulcanizada (Coleta T6 Pés)";"4"
"Solado Titânico do Marco";"4"
"Tapete de Embarque Desfiado (Coleta T4 Pernas)";"4"
"Vedação de Máscara Clínica";"4"
"Visor Carmesim Selado";"4"
"Visor de Quarentena";"4"
"Visor Rubro de Bioleitura";"4"
"Acolchoado Antimordida (Coleta T5 Pernas)";"3"
"Acolchoado de Maca (Patrulha T3 Pernas)";"3"
"Ampola Selante Verde";"3"
"Apoio de Madeira Rachado";"3"
"Atuador de Joelho Helix";"3"
"Avental Antióleo Reforçado";"3"
"Avental de Borracha Carbonizado (Coleta T6 Pernas)";"3"
"Avental Hospitalar Grosso";"3"
"Bainha de Uniforme Escura";"3"
"Bainha de Uniforme Gasta (Coleta T2 Pernas)";"3"
"Bolsa de Cartuchos de Sinalização";"3"
"Cabo de Madeira Cravado";"3"
"Cadarço de Uniforme Gasto (Coleta T2 Pés)";"3"
"Cadarço de Uniforme Gasto (Patrulha T2 Pés)";"3"
"Calcanhar Titânico Industrial";"3"
"Câmara de Movimento Carmesim";"3"
"Cano Titânico Carmesim";"3"
"Capacitor de Cabine";"3"
"Cápsula Biofiltrante Helix";"3"
"Cápsula de Contenção Helix (Contenção T8 Main Hand)";"3"
"Cápsula de Contenção Helix (Contenção T8 Off Hand)";"3"
"Cápsula Química Ressecada";"3"
"Carcaça Experimental Helix";"3"
"Cartucho Cerâmico Roxo";"3"
"Cartucho de Sinalização";"3"
"Cartucho Filtrante Oxidado (Contenção T2 Main Hand)";"3"
"Cartucho Sanitário de Cabine";"3"
"Casco de Contenção Pesada";"3"
"Célula Rubra de Impacto";"3"
"Chapa de Caldeira Serrada";"3"
"Cilindro de Munição Carmesim";"3"
"Cobertura Cirúrgica Rasgada (Coleta T3 Pés)";"3"
"Cobertura Cirúrgica Rasgada (Patrulha T3 Pés)";"3"
"Colete Tático Paramédico";"3"
"Condensador de Choque Cinzento";"3"
"Condutor Carmesim de Choque";"3"
"Cúpula de Proteção Helix";"3"
"Detector de Gás Verde";"3"
"Fibra Escarlate de Tração (Coleta T10 Pés)";"3"
"Fibra Rubra Articulada (Coleta T10 Pernas)";"3"
"Filtro de Cabine Amarelado";"3"
"Filtro de Cabine Queimado";"3"
"Filtro Pálido Sujo";"3"
"Frasco de Anestésico Vazio";"3"
"Gatilho de Alarme Oxidado";"3"
"Joelheira Paramédica Rasgada";"3"
"Lâmina de Corte Industrial";"3"
"Lâmina de Quarentena Selada";"3"
"Lâmina de Tesoura Clínica";"3"
"Malha de Fibra Médica";"3"
"Malha de Fibra Pesada (Coleta T9 Armadura)";"3"
"Máscara de Solda Pesada";"3"
"Microvisor de Campo Roxo";"3"
"Módulo Cerâmico Helix (Contenção T8 Main Hand)";"3"
"Módulo de Passo Final";"3"
"Núcleo de Vedação Carmesim";"3"
"Núcleo Rubro de Esterilização (Contenção T10 Main Hand)";"3"
"Placa Antimotim Recortada (Desmanche T7 Armadura)";"3"
"Placa de Caldeira Pesada";"3"
"Placa de Embarque Afiada";"3"
"Placa de Isolamento Clínico";"3"
"Placa de Porta Leve";"3"
"Placa de Porta Selada";"3"
"Placa de Portão Leve";"3"
"Placa de Sinalização Cortante";"3"
"Placa Titânica Cortante";"3"
"Placas Titânicas do Marco";"3"
"Porta-cargas do Marco";"3"
"Porta-cartuchos Oxidado";"3"
"Reforço de Polímero de Tornozelo (Coleta T7 Pés)";"3"
"Relé de Refinaria";"3"
"Retalho de Calça Grossa";"3"
"Selante Bioquímico Verde";"3"
"Selo de Marcha Carmesim (Contenção T9 Pés)";"3"
"Sola de Borracha Vulcanizada (Patrulha T6 Pés)";"3"
"Sola de Tênis Gasto";"3"
"Tapete de Piso Emborrachado (Patrulha T4 Pés)";"3"
"Tira de Máscara Clínica";"3"
"Trama de Fibra Pesada (Coleta T9 Pernas)";"3"
"Trama de Polímero Helix (Coleta T8 Main Hand)";"3"
"Trama de Polímero Helix (Patrulha T8 Main Hand)";"3"
"Acolchoado Antimordida (Patrulha T5 Pernas)";"2"
"Acolchoado Antimordida Leve";"2"
"Ampola Cerâmica Helix";"2"
"Ampola Selante Oxidada";"2"
"Ampola Vazia Suja";"2"
"Arco de Protetor Facial";"2"
"Atuador de Corte Sanitário";"2"
"Atuador Rubro de Dose Final";"2"
"Avental de Borracha Carbonizado (Patrulha T6 Pernas)";"2"
"Bandeja Cirúrgica Serrilhada";"2"
"Bateria de Choque Verde";"2"
"Bateria de Rádio Quebrada";"2"
"Biqueira de Lata Amassada";"2"
"Bolsa de Ferramentas Médicas Gasta";"2"
"Bolsa de Munição Rasgada";"2"
"Bolsa Tática Rasgada";"2"
"Bolso de Munição Furado";"2"
"Calha de Viatura Blindada";"2"
"Câmara de Pressão Cinzenta";"2"
"Câmara de Vedação Carmesim (Contenção T9 Armadura)";"2"
"Câmara Necrótica Selada";"2"
"Canivetes de Bagagem";"2"
"Cano Balístico de Viatura";"2"
"Cano de Contenção Selado";"2"
"Cano de Espingarda Velha";"2"
"Cano Industrial Queimado";"2"
"Cano Oxidado de Carabina";"2"
"Cápsula Cerâmica Roxa";"2"
"Cápsula do Marco Zero";"2"
"Cápsula Helix Pressurizada";"2"
"Capuz de Passageiro Desfiado";"2"
"Carcaça de Atuador Helix";"2"
"Cartucho Cerâmico Helix";"2"
"Cartucho de Refinaria";"2"
"Cartucho Modular Helix";"2"
"Casco de Segurança Amassado";"2"
"Casco Titânico Industrial";"2"
"Cinto Tático Rompido";"2"
"Circuito de Lanterna Quebrado";"2"
"Clip de Cápsulas Verdes";"2"
"Colete Tático Rasgado (Patrulha T7 Armadura)";"2"
"Coroa Titânica do Marco";"2"
"Correia de Fibra Tática";"2"
"Couro de Bota Gasto";"2"
"Cravos de Ferro Oxidados";"2"
"Emissor de Ruído Instável";"2"
"Envoltório de Fibra Escarlate";"2"
"Estojo de Ampolas Rasgado";"2"
"Estojo de Dardos Clínicos";"2"
"Estojo de Munição Química";"2"
"Estojo de Polímero Helix";"2"
"Estribo de Leito Clínico";"2"
"Estrutura de Maca Dobrada";"2"
"Faixa Hospitalar";"2"
"Fibra de Compressão Pesada (Coleta T9 Pés)";"2"
"Fibra de Compressão Pesada (Patrulha T9 Pés)";"2"
"Fibra Escarlate de Tração (Patrulha T10 Pés)";"2"
"Forro de Maca Rasgado";"2"
"Gel Condutor Vencido";"2"
"Gel de Desinfecção Coagulado";"2"
"Granadas de Fumaça Roxa";"2"
"Inserto Cerâmico Roxo";"2"
"Interface de Camuflagem Helix";"2"
"Interface Ocular Carmesim (Tecnovarredura T9 Elmo)";"2"
"Jaqueta Remendada";"2"
"Joelheira Tática Rasgada (Coleta T7 Pernas)";"2"
"Junta de Vapor Cinzenta";"2"
"Junta Mecânica Helix";"2"
"Lacre Estéril Amarelado";"2"
"Lacre Sanitário de Cabine";"2"
"Lâmina de Ferramenta Velha";"2"
"Lâmina de Porta de Viatura";"2"
"Lâmina Helix Serrilhada";"2"
"Lâminas de Estilete Oxidadas";"2"
"Lataria Enferrujada";"2"
"Lente de Mira Quebrada";"2"
"Luva de Borracha Queimada";"2"
"Malha de Fibra Sombria";"2"
"Malha de Fibra Tática";"2"
"Malha Rasgada";"2"
"Manguito Antimordida Leve (Coleta T5 Pés)";"2"
"Manguito Antimordida Leve (Patrulha T5 Pés)";"2"
"Manta de Emergência Desfiada";"2"
"Manta de Fibra Saturada (Coleta T10 Main Hand)";"2"
"Manta de Fibra Saturada (Patrulha T10 Main Hand)";"2"
"Manta de Polímero Helix";"2"
"Microserra Helix (Arsenal T8 Pernas)";"2"
"Microserra Helix (Tecnovarredura T8 Main Hand)";"2"
"Microvisor Balístico";"2"
"Módulo Cerâmico Helix (Contenção T8 Elmo)";"2"
"Módulo de Alarme Verde";"2"
"Módulo de Passo Instável";"2"
"Mola de Carregador Oxidada";"2"
"Mola Industrial Queimada";"2"
"Monitor Portátil Quebrado";"2"
