"tier";"atividade";"cenario";"goldDiretoBrutoPorHora";"valorItensNpcPorHora";"goldBrutoEquivalentePorHora";"custoGoldDiretoPorHora";"custoOportunidadePorHora";"goldLiquidoEquivalentePorHora";"xpPersonagemPorHora";"xpProficienciaPorHora";"chanceDerrotaOuFalhaPercentual";"disponibilidade";"observacao"
"1";"AUTO_COMBAT";"SET_ATUAL_MIX_6_MOBS";"0";"789.29";"789.29";"16.15";"0";"773.14";"1820.17";"0";"0";"CONTINUOUS";"Gold equivalente pressupoe venda integral dos drops ao Mercado Negro; o combate entrega itens, nao Gold direto."
"1";"GATHERING";"MASTERY_AFFINITY";"0";"300.51";"300.51";"0";"0";"300.51";"0";"460.78";"0";"CONTINUOUS";"XP e de proficiencia de gathering. Gold equivalente exige vender todos os materiais; nao ha Gold direto."
"1";"CRAFTING";"CICLO_AUTOSSUFICIENTE_E_VENDA_NPC";"0";"62.18";"62.18";"3.45";"0";"58.73";"0";"62.18";"0";"CONTINUOUS";"Inclui coleta, farm simultaneo dos drops limitantes, pocao e tempo de criacao; nao trata o preco livre do mercado de jogadores como valor canonico."
"1";"INCURSION";"BALANCED_MEDIA_DAS_2_INCURSOES";"183.55";"0";"183.55";"166.12";"0";"17.43";"1184.9";"0";"11.5";"CONTINUOUS";"Media das duas incursoes do tier. A entrada retorna 100% no sucesso e 90% na falha; fragmentos e fichas nao recebem valor arbitrario em Gold."
"1";"WORLD_BOSS";"CALENDARIO_SOMA_DOS_2_SLOTS";"1.46";"0";"1.47";"0";"0";"1.47";"4.78";"0";"0";"SCHEDULED";"Soma dos dois ciclos independentes, normalizada por duracao, respawn e ativacao. Resultados com FALLBACK nao estao prontos para decisao de recompensa."
"1";"MISSIONS";"RECORRENTES_COM_OBJETIVOS_DEDICADOS";"395.53";"99.38";"494.91";"58.42";"96.59";"339.9";"1171.29";"83.32";"9";"CAPPED";"Taxa por hora dedicada aos objetivos; recompensas continuam limitadas por reset diario/semanal e nao podem ser extrapoladas como farm continuo."
"2";"AUTO_COMBAT";"SET_ATUAL_MIX_6_MOBS";"0";"908.44";"908.44";"54.56";"0";"853.88";"1418.83";"0";"0";"CONTINUOUS";"Gold equivalente pressupoe venda integral dos drops ao Mercado Negro; o combate entrega itens, nao Gold direto."
"2";"GATHERING";"MASTERY_AFFINITY";"0";"536.29";"536.29";"0";"0";"536.29";"0";"616.73";"0";"CONTINUOUS";"XP e de proficiencia de gathering. Gold equivalente exige vender todos os materiais; nao ha Gold direto."
"2";"CRAFTING";"CICLO_AUTOSSUFICIENTE_E_VENDA_NPC";"0";"28.59";"28.59";"10.62";"0";"17.98";"0";"41.1";"0";"CONTINUOUS";"Inclui coleta, farm simultaneo dos drops limitantes, pocao e tempo de criacao; nao trata o preco livre do mercado de jogadores como valor canonico."
"2";"INCURSION";"BALANCED_MEDIA_DAS_2_INCURSOES";"291.81";"0";"291.81";"255.03";"0";"36.77";"926.1";"0";"16.5";"CONTINUOUS";"Media das duas incursoes do tier. A entrada retorna 100% no sucesso e 90% na falha; fragmentos e fichas nao recebem valor arbitrario em Gold."
