"tier";"cenario";"nivelProficiencia";"afinidadeClasse";"materiaisDisponiveis";"valorNpcUnitario";"unidadesPorHora";"valorItensNpcPorHora";"xpGatheringPorHora";"custoGoldPorHora";"derrotaPercentual"
"1";"ENTRY";"1";"false";"12";"3";"90";"270";"360";"0";"0"
"1";"MASTERY";"5";"false";"12";"3";"95.4";"286.2";"381.6";"0";"0"
"1";"MASTERY_AFFINITY";"5";"true";"12";"3";"100.17";"300.51";"460.78";"0";"0"
"2";"ENTRY";"6";"false";"12";"6";"80.63";"483.75";"483.75";"0";"0"
"2";"MASTERY";"10";"false";"12";"6";"85.13";"510.75";"510.75";"0";"0"
"2";"MASTERY_AFFINITY";"10";"true";"12";"6";"89.38";"536.29";"616.73";"0";"0"
"3";"ENTRY";"11";"false";"12";"16";"69";"1104";"621";"0";"0"
"3";"MASTERY";"15";"false";"12";"16";"72.6";"1161.6";"653.4";"0";"0"
"3";"MASTERY_AFFINITY";"15";"true";"12";"16";"76.23";"1219.68";"788.98";"0";"0"
"4";"ENTRY";"16";"false";"12";"27";"61.25";"1653.75";"735";"0";"0"
"4";"MASTERY";"20";"false";"12";"27";"64.25";"1734.75";"771";"0";"0"
"4";"MASTERY_AFFINITY";"20";"true";"12";"27";"67.46";"1821.49";"930.98";"0";"0"
"5";"ENTRY";"21";"false";"12";"59";"52";"3068";"832";"0";"0"
"5";"MASTERY";"25";"false";"12";"59";"54.4";"3209.6";"870.4";"0";"0"
"5";"MASTERY_AFFINITY";"25";"true";"12";"59";"57.12";"3370.08";"1051.01";"0";"0"
