"tier";"classe";"slot";"item";"valorNpcOutput";"quantidadeGathering";"quantidadeDrops";"valorNpcIngredientes";"duracaoCraftSegundos";"xpCraft";"craftsBancadaPorHora";"valorOutputBancadaPorHora";"custoOportunidadeBancadaPorHora";"liquidoEconomicoBancadaPorHora";"horasGathering";"horasDrops";"horasCraft";"horasCicloAutossuficiente";"custoPocoesCiclo";"valorOutputAutossuficientePorHora";"goldLiquidoAutossuficientePorHora";"diferencaVsVenderIngredientesPorHora"
"1";"Lutador";"ARMOR";"Armadura de Retalhos Pesados";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.1524";"0.0042";"0.456";"0";"52.63";"52.63";"-175.42"
"1";"Lutador";"PANTS";"Grevas de Tábua Remendada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0568";"0.0042";"0.3604";"0";"66.59";"66.59";"-221.96"
"1";"Lutador";"BOOTS";"Botas de Obra Remendadas";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0965";"0.0042";"0.4002";"0";"59.98";"59.98";"-199.92"
"1";"Lutador";"HEAD";"Elmo de Obra Rachado";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0965";"0.0042";"0.4002";"0";"59.98";"59.98";"-199.92"
"1";"Lutador";"MAIN_HAND";"Maça de Ripa Cravada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.03";"0.0042";"0.3337";"0";"71.92";"71.92";"-239.75"
"1";"Lutador";"MAIN_HAND";"Machado de Lâmina Lascada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.03";"0.0042";"0.3337";"0";"71.92";"71.92";"-239.75"
"1";"Lutador";"OFF_HAND";"Escudo de Tampa Amassada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.1524";"0.0042";"0.456";"0";"52.63";"52.63";"-175.42"
"1";"Assassino";"MAIN_HAND";"Espada de Faca Alongada";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0303";"0.0042";"0.3339";"1.17";"71.87";"68.36";"-243.09"
"1";"Assassino";"MAIN_HAND";"Adagas de Facas Trincadas";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.0303";"0.0042";"0.3339";"1.17";"71.87";"68.36";"-243.09"
"1";"Assassino";"OFF_HAND";"Bombas de Lata Fumacenta";"24";"30";"6";"104";"15";"24";"240";"5760";"24960";"-19200";"0.2995";"0.1536";"0.0042";"0.4573";"5.95";"52.48";"39.46";"-187.96"
