"tier";"incursao";"abordagem";"duracaoMinutos";"tentativasPorHora";"sucessoPercentual";"falhaPercentual";"perdaHpEsperadaPercentualPorTentativa";"entradaGold";"reembolsoSucessoGold";"reembolsoFalhaGold";"reembolsoEntradaEsperadoPorTentativa";"goldLootEsperadoPorTentativa";"goldDiretoEsperadoPorTentativa";"valorItemNpcEsperadoPorTentativa";"goldCarteiraLiquidoPorTentativa";"custoRecuperacaoHpPorTentativa";"goldLiquidoEsperadoPorTentativa";"goldLiquidoPorHora";"xpPersonagemPorHora";"fichasPorTentativa";"fragmentosReforcoPorTentativa"
"1";"Casas Seladas";"CAUTIOUS";"37.5";"1.6";"98";"2";"0.22";"50";"50";"45";"49.9";"15.68";"65.58";"0";"15.58";"0.88";"14.7";"23.53";"815.36";"1.63";"3.43"
"1";"Casas Seladas";"BALANCED";"30";"2";"91";"9";"1.55";"50";"50";"45";"49.55";"18.2";"67.75";"0";"17.75";"6.05";"11.7";"23.4";"1183";"1.82";"4.1"
"1";"Casas Seladas";"AGGRESSIVE";"22.5";"2.6667";"76";"24";"5.57";"50";"50";"45";"48.8";"20.56";"69.36";"0";"19.36";"21.76";"-2.4";"-6.4";"1779.41";"2.03";"4.56"
"1";"Porão dos Infectados";"CAUTIOUS";"37.5";"1.6";"98";"2";"0.25";"100";"100";"90";"99.8";"15.68";"115.48";"0";"15.48";"0.97";"14.51";"23.22";"865.54";"1.63";"4.41"
"1";"Porão dos Infectados";"BALANCED";"30";"2";"86";"14";"2.58";"100";"100";"90";"98.6";"17.2";"115.8";"0";"15.8";"10.07";"5.73";"11.47";"1186.8";"1.72";"4.73"
"1";"Porão dos Infectados";"AGGRESSIVE";"22.5";"2.6667";"71";"29";"7.08";"100";"100";"90";"97.1";"19.2";"116.3";"0";"16.3";"27.65";"-11.34";"-30.25";"1764.59";"1.89";"5.32"
"2";"Galpão do Capataz";"CAUTIOUS";"43.75";"1.3714";"98";"2";"0.25";"125";"125";"112";"124.74";"31.36";"156.1";"0";"31.1";"0.64";"30.46";"41.77";"677.38";"2.29";"4.41"
"2";"Galpão do Capataz";"BALANCED";"35";"1.7143";"86";"14";"2.58";"125";"125";"112";"123.18";"34.4";"157.58";"0";"32.58";"6.64";"25.94";"44.47";"928.8";"2.58";"4.73"
"2";"Galpão do Capataz";"AGGRESSIVE";"26.25";"2.2857";"71";"29";"7.08";"125";"125";"112";"121.23";"38.36";"159.59";"0";"34.59";"18.24";"16.35";"37.37";"1381.05";"2.84";"5.32"
"2";"Oficina Enferrujada";"CAUTIOUS";"50";"1.2";"93";"7";"0.95";"180";"180";"162";"178.74";"29.76";"208.5";"0";"28.5";"2.45";"26.05";"31.26";"678.53";"2.17";"5.12"
