"tier";"ameaca";"slot";"ativacaoPercentual";"fonteAtivacao";"chefeDerrotadoPercentual";"fonteDerrota";"falhaObjetivoPercentual";"derrotaJogadorPercentual";"cicloEsperadoHoras";"participacaoEsperadaHoras";"goldPorEventoAtivado";"xpPorEventoAtivado";"valorItemNpcPorEventoAtivado";"fragmentosPorEventoAtivado";"casulosPorEventoAtivado";"goldLiquidoPorHoraParticipando";"goldLiquidoPorHoraCalendario";"xpPorHoraParticipando";"xpPorHoraCalendario"
"1";"Síndico Devorado";"SHORT";"2.94";"TELEMETRY";"100";"FALLBACK";"0";"0";"8.9319";"0.6833";"240";"784.5";"0.21";"1";"0.07";"351.53";"0.79";"1148.05";"2.58"
"1";"Cão Alfa da Rua das Cercas";"LONG";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"15";"0.9167";"240";"784.5";"0.21";"1";"0.07";"262.05";"0";"855.82";"0"
"2";"Capataz Enferrujado";"SHORT";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"9";"0.6833";"500";"1831";"0.42";"1";"0.07";"732.32";"0";"2679.51";"0"
"2";"Empilhadeira Carniceira";"LONG";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"15";"0.9167";"500";"1831";"0.42";"1";"0.07";"545.91";"0";"1997.45";"0"
"3";"Cirurgião Sem Pulso";"SHORT";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"9";"0.6833";"780";"3139";"0.8";"1.5";"0.05";"1142.63";"0";"4593.66";"0"
"3";"Paciente Zero da Ala Norte";"LONG";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"15";"0.9167";"780";"3139";"0.8";"1.5";"0.05";"851.78";"0";"3424.36";"0"
"4";"Fiscal dos Mortos";"SHORT";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"9";"0.6833";"1080";"4708.5";"1.35";"1.5";"0.05";"1582.46";"0";"6890.49";"0"
"4";"Condutor Sem Rota";"LONG";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"15";"0.9167";"1080";"4708.5";"1.35";"1.5";"0.05";"1179.65";"0";"5136.55";"0"
"5";"Comandante Lacrado";"SHORT";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"9";"0.6833";"1400";"6540";"2.36";"1.5";"0.04";"2052.23";"0";"9570.73";"0"
"5";"Besta de Descontaminação";"LONG";"0";"TELEMETRY";"100";"FALLBACK";"0";"0";"15";"0.9167";"1400";"6540";"2.36";"1.5";"0.04";"1529.85";"0";"7134.55";"0"
