"tier";"chave";"missao";"tipo";"objetivo";"alvo";"horasDedicadas";"tentativasEsperadas";"goldMissao";"xpMissao";"custoGoldObjetivo";"custoOportunidadeObjetivo";"goldDiretoSubjacente";"valorItemNpcSubjacente";"xpPersonagemSubjacente";"xpProficienciaSubjacente";"goldMissaoPorHoraDedicada";"goldLiquidoCombinadoPorHoraDedicada";"falhaPorTentativaPercentual";"goldRecorrentePorDia"
"1";"story-first-supplies";"Primeiros suprimentos";"STORY";"GATHER_UNITS";"5";"0.049915";"1";"40";"80";"0";"0";"0";"15";"0";"23";"801.36";"1101.87";"0";"0"
"1";"daily-clear-threats";"Limpeza diaria";"DAILY";"DEFEAT_MOBS";"10";"0.050872";"1";"70";"120";"0.82";"0";"0";"40.15";"92.6";"0";"1375.99";"2149.13";"0";"70"
"1";"daily-field-crafting";"Producao de campo";"DAILY";"CRAFT_ITEMS";"1";"0.3338";"1";"110";"90";"0.49";"104";"0";"24";"0";"24";"329.54";"88.41";"0";"110"
"1";"daily-incursion-return";"Volta completa";"DAILY";"COMPLETE_INCURSIONS";"1";"0.549451";"1.0989";"100";"180";"61.59";"0";"74.45";"0";"650";"0";"182";"205.4";"9";"100"
"1";"weekly-stockpile";"Estoque semanal";"WEEKLY";"GATHER_UNITS";"100";"0.998303";"1";"500";"900";"0";"0";"0";"300";"0";"460";"500.85";"801.36";"0";"71.43"
"2";"story-first-supplies";"Primeiros suprimentos";"STORY";"GATHER_UNITS";"5";"0.055941";"1";"80";"160";"0";"0";"0";"30";"0";"34.5";"1430.08";"1966.36";"0";"0"
"2";"daily-clear-threats";"Limpeza diaria";"DAILY";"DEFEAT_MOBS";"10";"0.108814";"1";"140";"240";"5.94";"0";"0";"98.85";"154.39";"0";"1286.6";"2140.48";"0";"140"
"2";"daily-field-crafting";"Producao de campo";"DAILY";"CRAFT_ITEMS";"1";"1.490975";"1";"900";"180";"7.61";"790";"0";"48";"0";"69";"603.63";"100.87";"0";"900"
"2";"daily-incursion-return";"Volta completa";"DAILY";"COMPLETE_INCURSIONS";"1";"0.678295";"1.1628";"180";"360";"153.07";"0";"183.23";"0";"630";"0";"265.37";"309.84";"14";"180"
"2";"weekly-stockpile";"Estoque semanal";"WEEKLY";"GATHER_UNITS";"100";"1.118819";"1";"1000";"1800";"0";"0";"0";"600";"0";"690";"893.8";"1430.08";"0";"142.86"
"3";"story-first-supplies";"Primeiros suprimentos";"STORY";"GATHER_UNITS";"5";"0.065591";"1";"180";"320";"0";"0";"0";"80";"0";"51.75";"2744.28";"3963.96";"0";"0"
"3";"daily-clear-threats";"Limpeza diaria";"DAILY";"DEFEAT_MOBS";"10";"0.161238";"1";"300";"480";"37.6";"0";"0";"184.99";"275.39";"0";"1860.6";"2774.71";"0";"300"
"3";"daily-field-crafting";"Producao de campo";"DAILY";"CRAFT_ITEMS";"1";"2.871875";"1";"3200";"360";"251.24";"2532";"0";"760";"0";"113";"1114.25";"409.75";"0";"3200"
"3";"daily-incursion-return";"Volta completa";"DAILY";"COMPLETE_INCURSIONS";"1";"0.823045";"1.2346";"350";"720";"358.25";"0";"409.11";"0";"910";"0";"425.25";"487.05";"19";"350"
"3";"weekly-stockpile";"Estoque semanal";"WEEKLY";"GATHER_UNITS";"100";"1.311819";"1";"2200";"3600";"0";"0";"0";"1600";"0";"1035";"1677.06";"2896.74";"0";"314.29"
"4";"story-first-supplies";"Primeiros suprimentos";"STORY";"GATHER_UNITS";"5";"0.074118";"1";"320";"560";"0";"0";"0";"135";"0";"69";"4317.44";"6138.86";"0";"0"
"4";"daily-clear-threats";"Limpeza diaria";"DAILY";"DEFEAT_MOBS";"10";"0.235627";"1";"550";"840";"88.26";"0";"0";"424.97";"446.93";"0";"2334.2";"3763.21";"0";"550"
"4";"daily-field-crafting";"Producao de campo";"DAILY";"CRAFT_ITEMS";"1";"2.9187";"1";"5000";"630";"328.98";"4085";"0";"1226";"0";"158";"1713.09";"620.83";"0";"5000"
"4";"daily-incursion-return";"Volta completa";"DAILY";"COMPLETE_INCURSIONS";"1";"1.096491";"1.3158";"650";"1260";"705.93";"0";"782.79";"0";"1350";"0";"592.8";"662.89";"24";"650"
"4";"weekly-stockpile";"Estoque semanal";"WEEKLY";"GATHER_UNITS";"100";"1.48236";"1";"3800";"6300";"0";"0";"0";"2700";"0";"1380";"2563.48";"4384.9";"0";"542.86"
"5";"story-first-supplies";"Primeiros suprimentos";"STORY";"GATHER_UNITS";"5";"0.087535";"1";"600";"880";"0";"0";"0";"295";"0";"92";"6854.4";"10224.48";"0";"0"
"5";"daily-clear-threats";"Limpeza diaria";"DAILY";"DEFEAT_MOBS";"10";"0.257865";"1";"950";"1320";"218.41";"0";"0";"913.39";"686.67";"0";"3684.1";"6379.21";"0";"950"
"5";"daily-field-crafting";"Producao de campo";"DAILY";"CRAFT_ITEMS";"1";"4.188175";"1";"13000";"990";"1275.95";"10754";"0";"3226";"0";"202";"3103.98";"1001.88";"0";"13000"
"5";"daily-incursion-return";"Volta completa";"DAILY";"COMPLETE_INCURSIONS";"1";"1.408451";"1.4085";"1100";"1980";"1237.92";"0";"1347.46";"0";"2440";"0";"781";"858.78";"29";"1100"
"5";"weekly-stockpile";"Estoque semanal";"WEEKLY";"GATHER_UNITS";"100";"1.7507";"1";"7000";"9900";"0";"0";"0";"5900";"0";"1840";"3998.4";"7368.48";"0";"1000"
