"tier";"tierItem";"categoria";"item";"familia";"raridade";"tipoInventario";"vendavel";"valorVendaNpc";"aquisicao"
"1";"1";"GATHERING_MATERIAL";"Sucata Leve";"Sucata";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Sucata Oxidada";"Sucata";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Sucata Rebitada";"Sucata";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Sucata Industrial";"Sucata";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Sucata Reforçada";"Sucata";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Sucata Selada";"Sucata";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Sucata Militar";"Sucata";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Sucata Blindada";"Sucata";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Sucata Quarentenada";"Sucata";"RARE";"MATERIAL";"true";"59";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Sucata Antimuta";"Sucata";"RARE";"MATERIAL";"true";"59";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Tecido Puído";"Tecido";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Tecido Remendado";"Tecido";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Tecido Encerado";"Tecido";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Tecido Industrial";"Tecido";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Tecido Esterilizado";"Tecido";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Tecido Reforçado";"Tecido";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Tecido Tático";"Tecido";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Tecido Balístico";"Tecido";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Tecido Quarentenado";"Tecido";"RARE";"MATERIAL";"true";"59";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Tecido Antimuta";"Tecido";"RARE";"MATERIAL";"true";"59";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Suprimento Básico";"Suprimento";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Suprimento de Rua";"Suprimento";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Suprimento de Oficina";"Suprimento";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Suprimento Ferruginoso";"Suprimento";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Suprimento Médico";"Suprimento";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"3";"3";"GATHERING_MATERIAL";"Suprimento Esterilizado";"Suprimento";"UNCOMMON";"MATERIAL";"true";"16";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Suprimento de Terminal";"Suprimento";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"4";"4";"GATHERING_MATERIAL";"Suprimento Tático";"Suprimento";"UNCOMMON";"MATERIAL";"true";"27";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Suprimento de Quarentena";"Suprimento";"RARE";"MATERIAL";"true";"59";"GATHERING"
"5";"5";"GATHERING_MATERIAL";"Suprimento Selado";"Suprimento";"RARE";"MATERIAL";"true";"59";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Componente Improvisado";"Componente";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"1";"1";"GATHERING_MATERIAL";"Componente Gasto";"Componente";"COMMON";"MATERIAL";"true";"3";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Componente Rebitado";"Componente";"COMMON";"MATERIAL";"true";"6";"GATHERING"
"2";"2";"GATHERING_MATERIAL";"Componente Industrial";"Componente";"COMMON";"MATERIAL";"true";"6";"GATHERING"
