"tier";"alvo";"descricao";"classe";"custoGold";"fontePreco";"fonteRenda";"goldLiquidoPorHora";"horas";"dias24h";"requisitoAdicional"
"1";"POTIONS_100";"100x Poção de Vida Menor";"";"5500";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"773.14";"7.1138";"0.2964";""
"1";"POTIONS_100";"100x Poção de Vida Menor";"";"5500";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"300.51";"18.3022";"0.7626";""
"1";"POTIONS_100";"100x Poção de Vida Menor";"";"5500";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"58.73";"93.6489";"3.902";""
"1";"POTIONS_100";"100x Poção de Vida Menor";"";"5500";"CANONICAL";"INCURSION_BALANCED";"17.43";"315.4574";"13.1441";""
"1";"POTIONS_100";"100x Poção de Vida Menor";"";"5500";"CANONICAL";"WORLD_BOSS_CALENDAR";"1.47";"3741.4966";"155.8957";""
"1";"POTIONS_100";"100x Poção de Vida Menor";"";"5500";"CANONICAL";"MISSIONS_CALENDAR";"14.64";"375.6082";"15.6503";""
"1";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"1260";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"773.14";"1.6297";"0.0679";"132 fragmentos; 13.95h esperadas de incursao balanceada."
"1";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"1260";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"300.51";"4.1929";"0.1747";"132 fragmentos; 13.95h esperadas de incursao balanceada."
"1";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"1260";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"58.73";"21.4541";"0.8939";"132 fragmentos; 13.95h esperadas de incursao balanceada."
"1";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"1260";"CANONICAL";"INCURSION_BALANCED";"17.43";"72.2684";"3.0112";"132 fragmentos; 13.95h esperadas de incursao balanceada."
"1";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"1260";"CANONICAL";"WORLD_BOSS_CALENDAR";"1.47";"857.1429";"35.7143";"132 fragmentos; 13.95h esperadas de incursao balanceada."
"1";"REINFORCEMENT_SET_PLUS_3";"Reforcar seis pecas ate +3";"";"1260";"CANONICAL";"MISSIONS_CALENDAR";"14.64";"86.0484";"3.5854";"132 fragmentos; 13.95h esperadas de incursao balanceada."
"1";"PET_INCUBATION";"Incubar Sucateiro do Subúrbio";"";"300";"CANONICAL";"AUTO_COMBAT_SELL_ALL";"773.14";"0.388";"0.0162";"1 casulo + 10 fragmentos; 133.33h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 2h de incubacao."
"1";"PET_INCUBATION";"Incubar Sucateiro do Subúrbio";"";"300";"CANONICAL";"GATHERING_AFFINITY_SELL_ALL";"300.51";"0.9983";"0.0416";"1 casulo + 10 fragmentos; 133.33h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 2h de incubacao."
"1";"PET_INCUBATION";"Incubar Sucateiro do Subúrbio";"";"300";"CANONICAL";"CRAFTING_SELF_SUPPLY_SELL_OUTPUT";"58.73";"5.1081";"0.2128";"1 casulo + 10 fragmentos; 133.33h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 2h de incubacao."
"1";"PET_INCUBATION";"Incubar Sucateiro do Subúrbio";"";"300";"CANONICAL";"INCURSION_BALANCED";"17.43";"17.2068";"0.7169";"1 casulo + 10 fragmentos; 133.33h de calendario estimadas no perfil de 1 vitoria elegivel/dia; 2h de incubacao."
