"tier";"rank";"posicao";"monstro";"mapa";"submapa";"pesoEncontro";"frequenciaEncontroPercentual";"unidadesEsperadasPorAbate";"goldEsperadoPorAbate";"abatesPorHoraExclusivoMedio";"abatesPorHoraExclusivoMinimo";"abatesPorHoraExclusivoMaximo";"goldPorHoraExclusivoMedio";"goldPorHoraExclusivoMinimo";"goldPorHoraExclusivoMaximo";"goldPorHoraPonderado";"participacaoNoGoldPercentual";"razaoGoldPorAbateVsTier"
"1";"1";"START";"Errante do Subúrbio";"Subúrbio Silencioso";"Rua das Cercas";"42";"42";"1.725";"4.5";"208.82";"200";"211.76";"939.69";"900";"952.92";"369.44";"47.07";"1.12"
"1";"2";"START";"Gato de Telhado Contaminado";"Subúrbio Silencioso";"Rua das Cercas";"24";"24";"1.375";"3.45";"200";"200";"200";"690";"690";"690";"161.85";"20.62";"0.86"
"1";"3";"MID";"Rastejante de Garagem";"Subúrbio Silencioso";"Quintais Abandonados";"15";"15";"1.375";"3.45";"200";"200";"200";"690";"690";"690";"101.16";"12.89";"0.86"
"1";"4";"MID";"Morcego de Caixa d’Água";"Subúrbio Silencioso";"Quintais Abandonados";"9";"9";"1.725";"4.5";"175.72";"171.43";"180";"790.72";"771.44";"810";"79.17";"10.09";"1.12"
"1";"5";"END";"Porteiro Infectado";"Subúrbio Silencioso";"Bloco do Síndico";"6";"6";"1.375";"3.45";"175.72";"171.43";"180";"606.21";"591.43";"621";"40.46";"5.16";"0.86"
"1";"6";"END";"Síndico Devorado";"Subúrbio Silencioso";"Bloco do Síndico";"4";"4";"1.625";"4.2";"133.33";"133.33";"133.33";"559.99";"559.99";"559.99";"32.84";"4.18";"1.05"
"2";"1";"START";"Carregador de Paletes Infectado";"Distrito da Ferrugem";"Pátio de Carga";"42";"42";"3.45";"9";"156.52";"156.52";"156.52";"1408.68";"1408.68";"1408.68";"347.35";"38.24";"0.91"
"2";"2";"START";"Arrastador de Correntes";"Distrito da Ferrugem";"Pátio de Carga";"24";"24";"2.75";"6.9";"70.26";"69.23";"72";"484.81";"477.69";"496.8";"152.17";"16.75";"0.7"
"2";"3";"MID";"Operário Prensado";"Distrito da Ferrugem";"Linha de Prensas";"15";"15";"4.125";"10.35";"88.35";"87.8";"90";"914.42";"908.73";"931.5";"142.66";"15.7";"1.05"
"2";"4";"MID";"Esmagado da Prensa";"Distrito da Ferrugem";"Linha de Prensas";"9";"9";"5.175";"13.5";"60.77";"60";"62.07";"820.43";"810";"837.95";"111.65";"12.29";"1.37"
