"tierFarm";"item";"tierItem";"raridade";"valorVendaUnitario";"frequenciaPonderadaPercentual";"unidadesEsperadasPorAbate";"quantidadeMediaQuandoDropa";"quantidadeMaximaQuandoDropa";"valorMedioQuandoDropa";"valorMaximoQuandoDropa";"goldEsperadoPorAbate";"unidadesEsperadasPorHora";"goldEsperadoPorHora";"participacaoNoGoldPercentual";"fontes"
"1";"Resíduo Infecto Pálido";"1";"COMMON";"2";"45";"0.675";"1.5";"2";"3";"4";"1.35";"131.94";"263.88";"33.62";"Errante do Subúrbio | Gato de Telhado Contaminado | Rastejante de Garagem | Morcego de Caixa d’Água | Porteiro Infectado | Síndico Devorado"
"1";"Biomaterial Cortante Comum";"1";"COMMON";"3";"35.7";"0.357";"1";"1";"3";"3";"1.071";"69.78";"209.35";"26.67";"Errante do Subúrbio | Morcego de Caixa d’Água"
"1";"Biomaterial Articular Comum";"1";"COMMON";"3";"17.85";"0.1785";"1";"1";"3";"3";"0.5355";"34.89";"104.67";"13.34";"Errante do Subúrbio | Morcego de Caixa d’Água"
"1";"Biomaterial de Mobilidade Comum";"1";"COMMON";"3";"10.5";"0.105";"1";"1";"3";"3";"0.315";"20.52";"61.57";"7.84";"Gato de Telhado Contaminado | Porteiro Infectado"
"1";"Biomaterial Craniano Comum";"1";"COMMON";"3";"10.5";"0.105";"1";"1";"3";"3";"0.315";"20.52";"61.57";"7.84";"Gato de Telhado Contaminado | Porteiro Infectado"
"1";"Biomaterial Reativo Comum";"1";"COMMON";"3";"6.65";"0.0665";"1";"1";"3";"3";"0.1995";"13";"39";"4.97";"Rastejante de Garagem | Síndico Devorado"
"1";"Biomaterial Torácico Comum";"1";"COMMON";"3";"6.65";"0.0665";"1";"1";"3";"3";"0.1995";"13";"39";"4.97";"Rastejante de Garagem | Síndico Devorado"
"1";"Núcleo Infectado de Elite Comum";"1";"COMMON";"3";"1";"0.01";"1";"1";"3";"3";"0.03";"1.95";"5.86";"0.75";"Síndico Devorado"
"2";"Resíduo Infecto Pálido";"1";"COMMON";"2";"45.6";"1.683";"3.6908";"8";"7.38";"16";"3.366";"154.66";"309.31";"34.05";"Carregador de Paletes Infectado | Arrastador de Correntes | Operário Prensado | Esmagado da Prensa | Vigia do Galpão Infectado | Capataz Ferrugento"
"2";"Biomaterial Cortante Comum";"1";"COMMON";"3";"35.7";"0.777";"2.1765";"3";"6.53";"9";"2.331";"71.4";"214.2";"23.58";"Carregador de Paletes Infectado | Esmagado da Prensa"
"2";"Biomaterial Craniano Comum";"1";"COMMON";"3";"17.85";"0.3885";"2.1765";"3";"6.53";"9";"1.1655";"35.7";"107.1";"11.79";"Carregador de Paletes Infectado | Esmagado da Prensa"
"2";"Biomaterial Reativo Comum";"1";"COMMON";"3";"10.74";"0.2616";"2.4358";"4";"7.31";"12";"0.7848";"24.04";"72.12";"7.94";"Arrastador de Correntes | Vigia do Galpão Infectado"
"2";"Biomaterial de Mobilidade Comum";"1";"COMMON";"3";"10.74";"0.2616";"2.4358";"4";"7.31";"12";"0.7848";"24.04";"72.12";"7.94";"Arrastador de Correntes | Vigia do Galpão Infectado"
"2";"Biomaterial Torácico Comum";"1";"COMMON";"3";"6.81";"0.2199";"3.2291";"4";"9.69";"12";"0.6597";"20.21";"60.62";"6.67";"Operário Prensado | Capataz Ferrugento"
"2";"Biomaterial Articular Comum";"1";"COMMON";"3";"6.81";"0.2199";"3.2291";"4";"9.69";"12";"0.6597";"20.21";"60.62";"6.67";"Operário Prensado | Capataz Ferrugento"
"2";"Núcleo Infectado de Elite Comum";"1";"COMMON";"3";"1.12";"0.0448";"4";"4";"12";"12";"0.1344";"4.12";"12.35";"1.36";"Capataz Ferrugento"
"3";"Resíduo Infecto Amarelado";"3";"UNCOMMON";"9";"45";"0.675";"1.5";"2";"13.5";"18";"6.075";"41.86";"376.76";"32.84";"Paciente Febril Errante | Mosca de Ferida Contaminada | Enfermeira de Isolamento Infectada | Centopeia de Tubulação Contaminada | Instrumentador Cirúrgico Infectado | Cirurgião-Chefe Necrosado"
"3";"Biomaterial Craniano Incomum";"3";"UNCOMMON";"16";"17.85";"0.1785";"1";"1";"16";"16";"2.856";"11.07";"177.12";"15.44";"Paciente Febril Errante | Centopeia de Tubulação Contaminada"
"3";"Biomaterial de Mobilidade Incomum";"3";"UNCOMMON";"16";"17.85";"0.1785";"1";"1";"16";"16";"2.856";"11.07";"177.12";"15.44";"Paciente Febril Errante | Centopeia de Tubulação Contaminada"
"3";"Biomaterial Cortante Incomum";"3";"UNCOMMON";"16";"13.3";"0.133";"1";"1";"16";"16";"2.128";"8.25";"131.97";"11.5";"Enfermeira de Isolamento Infectada | Cirurgião-Chefe Necrosado"
"3";"Biomaterial Torácico Incomum";"3";"UNCOMMON";"16";"10.5";"0.105";"1";"1";"16";"16";"1.68";"6.51";"104.19";"9.08";"Mosca de Ferida Contaminada | Instrumentador Cirúrgico Infectado"
"3";"Biomaterial Reativo Incomum";"3";"UNCOMMON";"16";"10.5";"0.105";"1";"1";"16";"16";"1.68";"6.51";"104.19";"9.08";"Mosca de Ferida Contaminada | Instrumentador Cirúrgico Infectado"
"3";"Biomaterial Articular Incomum";"3";"UNCOMMON";"16";"6.65";"0.0665";"1";"1";"16";"16";"1.064";"4.12";"65.99";"5.75";"Enfermeira de Isolamento Infectada | Cirurgião-Chefe Necrosado"
"3";"Núcleo Infectado de Elite Incomum";"3";"UNCOMMON";"16";"1";"0.01";"1";"1";"16";"16";"0.16";"0.62";"9.92";"0.86";"Cirurgião-Chefe Necrosado"
"4";"Resíduo Infecto Amarelado";"3";"UNCOMMON";"9";"48.24";"1.5237";"3.1586";"6";"28.43";"54";"13.7133";"64.67";"582.03";"32.27";"Amontoado de Bagagens Vivas | Enxame de Carrapatos Hemáticos | Sinaleiro Sem Rosto | Casulo de Traças de Plataforma | Cobrador Fundido | Regente da Cabine Lacrada"
"4";"Biomaterial de Mobilidade Incomum";"3";"UNCOMMON";"16";"18.66";"0.3732";"2";"2";"32";"32";"5.9712";"15.84";"253.43";"14.05";"Amontoado de Bagagens Vivas | Casulo de Traças de Plataforma"
"4";"Biomaterial Reativo Incomum";"3";"UNCOMMON";"16";"18.66";"0.3732";"2";"2";"32";"32";"5.9712";"15.84";"253.43";"14.05";"Amontoado de Bagagens Vivas | Casulo de Traças de Plataforma"
