scenario;tier;iterations;victoryChancePercent;actualAbandonmentPercent;rewardCoveragePercent;averageDurationMinutes;goldPerRegistration;xpPerRegistration;fragmentsPerRegistration;cocoonChancePerRegistrationPercent;directGoldPerParticipantHour;autoCombatNetGoldPerHour;autoCombatXpPerHour;maxBossGoldPerPlayerCalendarDay;maxBossGoldVsEightHourAutoCombatPercent;maxBossActiveHoursPerPlayerCalendarDay;maxBossOpportunityCostGoldPerCalendarDay;maxNetGoldDeltaVsEightHourAutoCombatPercent;maxBossXpPerPlayerCalendarDay;rawMaxBossXpPerPlayerCalendarDay;maxBossOpportunityCostXpPerCalendarDay;maxNetXpDeltaVsEightHourAutoCombatPercent;maxBossFragmentsPerPlayerCalendarDay;totalBossWindowsPerCalendarDay;maxEligiblePetRewardVictoriesPerCalendarDay;fullPetRewardVictoriesPerCalendarDay;activeDailyCocoonChancePercent;medianCocoonAttempts;p90CocoonAttempts;medianCocoonCalendarDaysAllWindows;p90CocoonCalendarDaysAllWindows;expectedFragmentAttempts;expectedFragmentDaysAllWindows;expectedPetInputDaysAtOneAttemptPerDay;expectedPetInputDaysAllWindows
"CURRENT_RELIABLE";"1";"20000";"100";"0";"100";"40.47";"240.18";"784.51";"2.4993";"17.9516";"412.29";"773.14";"1820.17";"1328.11";"21.47";"3.1369";"2425.25";"-17.74";"4337.48";"4337.48";"5709.66";"-9.42";"7.0284";"5.5292";"5.5292";"1";"18.6664";"4";"12";"4";"12";"4";"1.42";"4";"4"
"CURRENT_RELIABLE";"2";"20000";"100";"0";"100";"40.46";"500.29";"1831.47";"3.5022";"16.1339";"859.46";"853.88";"1418.83";"2768.15";"40.52";"3.1352";"2677.11";"1.33";"4363.55";"10128.11";"4448.35";"-0.75";"8.0324";"5.5299";"5.5299";"1";"16.6071";"4";"14";"4";"13";"4";"1.74";"4";"4"
"CURRENT_RELIABLE";"3";"20000";"100";"0";"100";"40.53";"779.71";"3138.57";"4.5036";"14.0137";"1336.47";"914.11";"1707.96";"4310.6";"58.95";"3.1409";"2871.17";"19.68";"7476.6";"17352.43";"5364.6";"15.46";"9.0322";"5.5289";"5.5289";"1";"14.5439";"5";"16";"5";"15";"4";"1.99";"5";"5"
"CURRENT_RELIABLE";"4";"20000";"100";"0";"100";"40.63";"1079.71";"4709.17";"5.4992";"12.0437";"1848.74";"1429";"1896.79";"5969.53";"52.22";"3.144";"4492.76";"12.92";"11216.94";"26030.98";"5963.49";"34.62";"10.0267";"5.5277";"5.5277";"1";"12.4771";"6";"18";"6";"18";"4.36";"2.39";"6";"6"
"CURRENT_RELIABLE";"5";"20000";"100";"0";"100";"40.42";"1399.3";"6538.16";"6.4979";"9.9849";"2403.74";"2695.11";"2662.9";"7736.92";"35.88";"3.1347";"8448.28";"-3.3";"15576.51";"36153.13";"8347.31";"33.93";"11.027";"5.5295";"5.5295";"1";"10.4069";"7";"22";"7";"21";"4.62";"2.72";"7";"7"
"LOW_POPULATION";"1";"20000";"95.23";"9.68";"90.32";"62.94";"216.54";"708.42";"2.2523";"16.5405";"259.08";"773.14";"1820.17";"1146.12";"18.53";"4.3136";"3335.05";"-35.39";"3749.74";"3749.74";"7851.57";"-28.17";"6.2742";"5.2931";"4.7816";"1";"18.5567";"4";"13";"4";"12";"4.44";"1.59";"4.44";"4"
"LOW_POPULATION";"2";"20000";"95.26";"9.64";"90.37";"63.08";"451.87";"1655.21";"3.1655";"14.6005";"538.32";"853.88";"1418.83";"2387.78";"34.95";"4.3276";"3695.24";"-19.14";"4019.25";"8749.65";"6140.11";"-18.68";"7.2806";"5.2878";"4.7764";"1";"16.5064";"5";"15";"4";"13";"4.42";"1.92";"5";"4"
"LOW_POPULATION";"3";"20000";"94.98";"9.82";"90.19";"63.41";"702.91";"2831.65";"4.053";"12.3635";"837.64";"914.11";"1707.96";"3714.93";"50.8";"4.3254";"3953.89";"-3.27";"6882.9";"14969.87";"7387.61";"-3.69";"8.261";"5.2866";"4.7668";"1";"14.4526";"6";"18";"5";"15";"4.44";"2.18";"6";"5"
"LOW_POPULATION";"4";"20000";"95.53";"9.5";"90.5";"62.73";"976.73";"4261.3";"4.9746";"10.6912";"1163.33";"1429";"1896.79";"5168.21";"45.21";"4.3331";"6192.06";"-8.96";"10346.36";"22551.13";"8219.06";"14.02";"9.2849";"5.2934";"4.7894";"1";"12.3994";"7";"21";"6";"18";"4.82";"2.58";"7";"6"
"LOW_POPULATION";"5";"20000";"95.5";"9.7";"90.31";"62.84";"1263.69";"5906.92";"5.8714";"8.9961";"1504.15";"2695.11";"2662.9";"6692.43";"31.04";"4.3373";"11689.37";"-23.18";"14364.36";"31292.56";"11549.67";"13.21";"10.2857";"5.2921";"4.7839";"1";"10.34";"8";"25";"7";"22";"5.11";"2.92";"8";"7"
