scenario;tier;bossName;difficulty;iterations;averageInitialParticipants;victoryChancePercent;actualAbandonmentPercent;rewardCoveragePercent;eligibleVictoryCoveragePercent;averageDurationMinutes;p50DurationMinutes;p90DurationMinutes;averageProgressPercent;goldPerRegistration;xpPerRegistration;eligibleVictoryXpPerRegistration;otherXpPerRegistration;fragmentsPerRegistration;cocoonChancePerRegistrationPercent;totalGoldInjectedPerEvent;activeHoursPerRegistration;directGoldPerParticipantHour;autoCombatNetGoldPerHour;autoCombatXpPerHour;directGoldRateVsAutoCombatPercent;eventsPerCalendarDay;classRegistrations;gearRegistrations
"CURRENT_RELIABLE";"1";"Síndico Devorado";"CONTENCAO";"10000";"3.35";"100";"0";"100";"100";"34.46";"30";"45";"100";"240.25";"784.38";"784.38";"0";"2.4988";"17.7837";"805.44";"0.506";"474.84";"773.14";"1820.17";"61.42";"3.6505";"{""Médico"":8403,""Lutador"":8405,""Assassino"":8402,""Atirador"":8315}";"{""PREVIOUS"":0,""CURRENT"":33525}"
"CURRENT_RELIABLE";"1";"Cão Alfa da Rua das Cercas";"EXTERMINIO";"10000";"3.34";"100";"0";"100";"100";"46.47";"48";"60";"100";"240.1";"784.64";"784.64";"0";"2.4999";"18.1195";"802.36";"0.6865";"349.74";"773.14";"1820.17";"45.24";"1.8787";"{""Médico"":8452,""Assassino"":8454,""Atirador"":8252,""Lutador"":8259}";"{""PREVIOUS"":0,""CURRENT"":33417}"
"CURRENT_RELIABLE";"2";"Capataz Enferrujado";"CONTENCAO";"10000";"3.37";"100";"0";"100";"100";"34.38";"30";"45";"100";"501.2";"1831.62";"1831.62";"0";"3.5031";"16.1021";"1689.83";"0.5053";"991.79";"853.88";"1418.83";"116.15";"3.6513";"{""Lutador"":8351,""Médico"":8411,""Assassino"":8451,""Atirador"":8503}";"{""PREVIOUS"":0,""CURRENT"":33716}"
"CURRENT_RELIABLE";"2";"Empilhadeira Carniceira";"EXTERMINIO";"10000";"3.35";"100";"0";"100";"100";"46.53";"48";"60";"100";"499.37";"1831.32";"1831.32";"0";"3.5013";"16.1657";"1674.59";"0.6868";"727.13";"853.88";"1418.83";"85.16";"1.8786";"{""Atirador"":8464,""Lutador"":8455,""Assassino"":8236,""Médico"":8379}";"{""PREVIOUS"":0,""CURRENT"":33534}"
"CURRENT_RELIABLE";"3";"Cirurgião Sem Pulso";"CONTENCAO";"10000";"3.35";"100";"0";"100";"100";"34.46";"30";"45";"100";"779.53";"3138.34";"3138.34";"0";"4.5027";"14.0318";"2613.86";"0.5065";"1539.03";"914.11";"1707.96";"168.36";"3.6505";"{""Lutador"":8492,""Atirador"":8382,""Assassino"":8221,""Médico"":8436}";"{""PREVIOUS"":0,""CURRENT"":33531}"
"CURRENT_RELIABLE";"3";"Paciente Zero da Ala Norte";"EXTERMINIO";"10000";"3.32";"100";"0";"100";"100";"46.61";"48";"60";"100";"779.88";"3138.8";"3138.8";"0";"4.5045";"13.9955";"2587.78";"0.6878";"1133.9";"914.11";"1707.96";"124.04";"1.8784";"{""Médico"":8209,""Lutador"":8368,""Atirador"":8301,""Assassino"":8304}";"{""PREVIOUS"":0,""CURRENT"":33182}"
"CURRENT_RELIABLE";"4";"Fiscal dos Mortos";"CONTENCAO";"10000";"3.33";"100";"0";"100";"100";"34.58";"35";"45";"100";"1080.41";"4709.24";"4709.24";"0";"5.4985";"12.1932";"3596.57";"0.5071";"2130.6";"1429";"1896.79";"149.1";"3.6495";"{""Atirador"":8354,""Médico"":8267,""Lutador"":8383,""Assassino"":8285}";"{""PREVIOUS"":0,""CURRENT"":33289}"
"CURRENT_RELIABLE";"4";"Condutor Sem Rota";"EXTERMINIO";"10000";"3.3";"100";"0";"100";"100";"46.68";"48";"60";"100";"1079";"4709.09";"4709.09";"0";"5.4999";"11.8942";"3559.72";"0.6886";"1566.87";"1429";"1896.79";"109.65";"1.8782";"{""Lutador"":8139,""Atirador"":8365,""Assassino"":8141,""Médico"":8346}";"{""PREVIOUS"":0,""CURRENT"":32991}"
"CURRENT_RELIABLE";"5";"Comandante Lacrado";"CONTENCAO";"10000";"3.36";"100";"0";"100";"100";"34.45";"35";"45";"100";"1399";"6538.37";"6538.37";"0";"6.4966";"9.8885";"4705.55";"0.5056";"2767.25";"2695.11";"2662.9";"102.68";"3.6506";"{""Lutador"":8432,""Médico"":8285,""Atirador"":8452,""Assassino"":8466}";"{""PREVIOUS"":0,""CURRENT"":33635}"
"CURRENT_RELIABLE";"5";"Besta de Descontaminação";"EXTERMINIO";"10000";"3.37";"100";"0";"100";"100";"46.4";"40";"60";"100";"1399.61";"6537.95";"6537.95";"0";"6.4993";"10.0813";"4717.52";"0.686";"2040.22";"2695.11";"2662.9";"75.7";"1.8789";"{""Médico"":8407,""Assassino"":8457,""Lutador"":8533,""Atirador"":8309}";"{""PREVIOUS"":0,""CURRENT"":33706}"
