balanceVersion,tier,bossName,difficulty,bossLevel,className,gear,projectedEquipment,participantCount,targetTtkSeconds,expectedTtkSeconds,expectedTtkMinutes,readinessRatio,damagePerSecondPerPlayer,scalingDamagePerSecondPerPlayer,maxHp
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","PREVIOUS",false,1,2700,3375.03,56.25,0.8,8.282,10.3525,27952
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","PREVIOUS",false,2,2100,2625.03,43.75,0.8,8.282,10.3525,43481
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","PREVIOUS",false,3,1800,2250.02,37.5,0.8,8.282,10.3525,55904
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","PREVIOUS",false,5,1800,2250.01,37.5,0.8,8.282,10.3525,93173
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","PREVIOUS",false,10,1500,1875.01,31.25,0.8,8.282,10.3525,155288
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","CURRENT",false,1,2700,2699.98,45,1,13.1527,13.1527,35512
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","CURRENT",false,2,2100,2099.99,35,1,13.1527,13.1527,55241
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","CURRENT",false,3,1800,1799.99,30,1,13.1527,13.1527,71024
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","CURRENT",false,5,1800,1800,30,1,13.1527,13.1527,118374
2,1,"Síndico Devorado","CONTENCAO",5,"Lutador","CURRENT",false,10,1500,1500,25,1,13.1527,13.1527,197290
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","PREVIOUS",false,1,2700,3375.05,56.25,0.8,7.5863,9.4828,25604
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","PREVIOUS",false,2,2100,2625.01,43.75,0.8,7.5863,9.4828,39828
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","PREVIOUS",false,3,1800,2249.99,37.5,0.8,7.5863,9.4828,51207
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","PREVIOUS",false,5,1800,2249.99,37.5,0.8,7.5863,9.4828,85345
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","PREVIOUS",false,10,1500,1875,31.25,0.8,7.5863,9.4828,142242
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","CURRENT",false,1,2700,2700.04,45,1,11.7113,11.7113,31621
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","CURRENT",false,2,2100,2100.02,35,1,11.7113,11.7113,49188
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","CURRENT",false,3,1800,1800,30,1,11.7113,11.7113,63241
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","CURRENT",false,5,1800,1800,30,1,11.7113,11.7113,105402
2,1,"Síndico Devorado","CONTENCAO",5,"Assassino","CURRENT",false,10,1500,1500,25,1,11.7113,11.7113,175670
