"itemCraftado";"classe";"slot";"tier";"mapa";"ingredienteOrdem";"ingrediente";"quantidade";"papel";"origem"
"Armadura de Retalhos Pesados";"Lutador";"ARMOR";"1";"Subúrbio Silencioso";"1";"Placa de Portão Leve";"80";"MAIN_COMPONENT";"DESMANCHE"
"Armadura de Retalhos Pesados";"Lutador";"ARMOR";"1";"Subúrbio Silencioso";"2";"Jaqueta Remendada";"40";"SHARED_MATERIAL";"COLETA"
"Armadura de Retalhos Pesados";"Lutador";"ARMOR";"1";"Subúrbio Silencioso";"3";"Biomaterial Torácico Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Retalhos Pesados";"Lutador";"ARMOR";"1";"Subúrbio Silencioso";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Placas Oxidadas";"Lutador";"ARMOR";"2";"Distrito da Ferrugem";"1";"Lataria Enferrujada";"80";"MAIN_COMPONENT";"DESMANCHE"
"Armadura de Placas Oxidadas";"Lutador";"ARMOR";"2";"Distrito da Ferrugem";"2";"Colete de Operário Gasto";"40";"SHARED_MATERIAL";"COLETA"
"Armadura de Placas Oxidadas";"Lutador";"ARMOR";"2";"Distrito da Ferrugem";"3";"Biomaterial Torácico Comum";"15";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Placas Oxidadas";"Lutador";"ARMOR";"2";"Distrito da Ferrugem";"4";"Resíduo Infecto Pálido";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Maca Reforçada";"Lutador";"ARMOR";"3";"Hospital Santa Ruína";"1";"Estrutura de Maca Dobrada";"90";"MAIN_COMPONENT";"DESMANCHE"
"Armadura de Maca Reforçada";"Lutador";"ARMOR";"3";"Hospital Santa Ruína";"2";"Avental Hospitalar Grosso";"45";"SHARED_MATERIAL";"COLETA"
"Armadura de Maca Reforçada";"Lutador";"ARMOR";"3";"Hospital Santa Ruína";"3";"Biomaterial Torácico Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Maca Reforçada";"Lutador";"ARMOR";"3";"Hospital Santa Ruína";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Bagageiro Rebitado";"Lutador";"ARMOR";"4";"Terminal dos Esquecidos";"1";"Painel de Bagageiro Amassado";"90";"MAIN_COMPONENT";"DESMANCHE"
"Armadura de Bagageiro Rebitado";"Lutador";"ARMOR";"4";"Terminal dos Esquecidos";"2";"Forro de Assento Rasgado";"45";"SHARED_MATERIAL";"COLETA"
"Armadura de Bagageiro Rebitado";"Lutador";"ARMOR";"4";"Terminal dos Esquecidos";"3";"Biomaterial Torácico Incomum";"20";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Bagageiro Rebitado";"Lutador";"ARMOR";"4";"Terminal dos Esquecidos";"4";"Resíduo Infecto Amarelado";"35";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Barreira Selada";"Lutador";"ARMOR";"5";"Zona de Quarentena 9";"1";"Painel de Barreira Selada";"100";"MAIN_COMPONENT";"DESMANCHE"
"Armadura de Barreira Selada";"Lutador";"ARMOR";"5";"Zona de Quarentena 9";"2";"Colete Antimordida Rasgado";"50";"SHARED_MATERIAL";"COLETA"
"Armadura de Barreira Selada";"Lutador";"ARMOR";"5";"Zona de Quarentena 9";"3";"Biomaterial Torácico Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Barreira Selada";"Lutador";"ARMOR";"5";"Zona de Quarentena 9";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Caldeira Cinzenta";"Lutador";"ARMOR";"6";"Refinaria do Pó Cinzento";"1";"Placa de Caldeira Pesada";"100";"MAIN_COMPONENT";"DESMANCHE"
"Armadura de Caldeira Cinzenta";"Lutador";"ARMOR";"6";"Refinaria do Pó Cinzento";"2";"Manta Térmica Queimada";"50";"SHARED_MATERIAL";"COLETA"
"Armadura de Caldeira Cinzenta";"Lutador";"ARMOR";"6";"Refinaria do Pó Cinzento";"3";"Biomaterial Torácico Raro";"25";"RARE_MOB_DROP";"DROP_MOBS"
"Armadura de Caldeira Cinzenta";"Lutador";"ARMOR";"6";"Refinaria do Pó Cinzento";"4";"Resíduo Infecto Tóxico";"45";"RARE_MOB_DROP";"DROP_MOBS"
