"tier";"receitas";"nivelGatheringRealista";"nivelCacaRealista";"qtdGatheringMedia";"qtdDropsAutoCombatMedia";"killsEsperadasDropsMedia";"horasGathering";"horasAutoCombatDrops";"horasCrafting";"horasTotais";"percentualAutoCombat";"craftsEm6hFree";"craftsEm12hPremium"
"1";"28";"5";"5";"120";"25";"101.3";"1.2";"0.62";"0.02";"1.83";"32.66";"3.34";"6.68"
"2";"28";"12";"12";"120";"30";"115.8";"1.31";"0.64";"0.03";"1.98";"31.71";"3.09";"6.18"
"3";"28";"18";"18";"135";"32";"133";"1.71";"0.81";"0.03";"2.55";"31.78";"2.37";"4.73"
"4";"28";"25";"25";"135";"38";"156.2";"1.89";"0.91";"0.05";"2.85";"32.04";"2.12";"4.24"
"5";"28";"30";"30";"150";"46";"182.3";"2.49";"1.16";"0.08";"3.74";"30.94";"1.63";"3.25"
"6";"0";"35";"35";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"7";"0";"40";"40";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8";"0";"45";"45";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"9";"0";"48";"48";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"10";"0";"50";"50";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
